anno,provincia,delitto,eta_alla_data_del_reato_vittima,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2022,TORINO,8. LESIONI DOLOSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,14-17,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,18-24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,25-34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,35-44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,45-54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,55-64,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,65 e oltre,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,0-13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
