anno,provincia,delitto,eta_alla_data_del_reato,sesso,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2019,TORINO,3. OMICIDI VOLONTARI CONSUMATI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,3. OMICIDI VOLONTARI CONSUMATI,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,3. OMICIDI VOLONTARI CONSUMATI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,3. OMICIDI VOLONTARI CONSUMATI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,3. OMICIDI VOLONTARI CONSUMATI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,3. OMICIDI VOLONTARI CONSUMATI,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,3. OMICIDI VOLONTARI CONSUMATI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,3. OMICIDI VOLONTARI CONSUMATI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,3. OMICIDI VOLONTARI CONSUMATI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,3. OMICIDI VOLONTARI CONSUMATI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,3. OMICIDI VOLONTARI CONSUMATI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,3. OMICIDI VOLONTARI CONSUMATI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
