anno,provincia,delitto,eta_alla_data_del_reato,sesso,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2021,TORINO,5. TENTATI OMICIDI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,5. TENTATI OMICIDI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,5. TENTATI OMICIDI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,5. TENTATI OMICIDI,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,5. TENTATI OMICIDI,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,5. TENTATI OMICIDI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,5. TENTATI OMICIDI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,5. TENTATI OMICIDI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,5. TENTATI OMICIDI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,5. TENTATI OMICIDI,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,0-13,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,0-13,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,0-13,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,0-13,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,0-13,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,0-13,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,45-54,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,55-64,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,55-64,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,65 e oltre,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,65 e oltre,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,0-13,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,0-13,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,14-17,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,14-17,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,18-24,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,18-24,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,25-34,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,25-34,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,35-44,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,35-44,MASCHILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,45-54,FEMMINILE,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
