PROT_SDI,COD_VITTIMA,SEX_VITTIMA,ETA_VITTIMA,NAZIONE_NASCITA_VITTIMA,NAZIONE_NASCITA_VITTIMA_ISO
ALPQV02024000019,20060312185048988779,MASCHIO,67,ITALIA,ITA
ANCS062024000033,20161206091106019017,FEMMINA,33,ALBANIA,ALB
ANCS072024000003,20061024182813644118,FEMMINA,43,ITALIA,ITA
ANCS082024000017,20051223112440703582,FEMMINA,42,ITALIA,ITA
ANCS082024000021,20041218102123309565,FEMMINA,37,ITALIA,ITA
ANCS302024000042,20100802173956893500,FEMMINA,39,ITALIA,ITA
ANCS332024000015,20170215133658498693,FEMMINA,50,FILIPPINE,PHL
ANCS332024000043,20040311120033298718,FEMMINA,85,ITALIA,ITA
ANCS372024000048,20020618060316515724,FEMMINA,55,ITALIA,ITA
ANGT632022000019,20220302075034908033,FEMMINA,16,ITALIA,ITA
ANPC012023000763,20141203112732983464,MASCHIO,69,ITALIA,ITA
ANPC012024000350,20000411193811051808,FEMMINA,64,ITALIA,ITA
ANPC032024000046,20060320084728973889,FEMMINA,38,POLONIA,POL
ANPC042025000804,20030514015255609437,MASCHIO,42,ITALIA,ITA
AOCS032024000002,20210507144446409598,FEMMINA,19,ITALIA,ITA
AOCS032024000020,20150304181439421624,MASCHIO,25,ITALIA,ITA
AOCS032024000039,20141012110842176204,FEMMINA,28,ITALIA,ITA
AOCS102024000022,20230807225057690798,FEMMINA,16,ITALIA,ITA
AOCS122024000001,20201124104439741072,FEMMINA,25,ITALIA,ITA
AOCS152025000004,20060209225042021029,FEMMINA,36,ITALIA,ITA
AOCS162023850097,20240114152525713346,FEMMINA,56,ITALIA,ITA
AOPQ102024001264,20120521114301385488,FEMMINA,42,REPUBBLICA DOMINICANA,DOM
AOPQ102024001690,20120727074820546968,FEMMINA,37,MAROCCO,MAR
AOPQ302025000024,20020403151611762919,MASCHIO,44,ITALIA,ITA
APCC022024000116,20150910115435102138,FEMMINA,27,NIGERIA,NGA
APCS142024850767,20060817140034611721,FEMMINA,39,ITALIA,ITA
APCS222024000035,20040217191153248064,FEMMINA,61,ITALIA,ITA
APCS342024000002,20030409230909627086,FEMMINA,39,ITALIA,ITA
APCS342024000018,20061006180409677165,FEMMINA,62,ITALIA,ITA
APCS402024000013,20240302192245757763,FEMMINA,4,ITALIA,ITA
AQCC022024000027,20090523122119613706,FEMMINA,32,LIBIA,LBY
AQCC022024000058,20001023123924004444,FEMMINA,65,UCRAINA,UKR
AQCS022023000021,20140301015839060284,FEMMINA,29,UNGHERIA,HUN
AQCS022024000002,20240108222754355612,FEMMINA,34,ROMANIA,ROU
AQCS062024000114,20110307175947379056,FEMMINA,70,ITALIA,ITA
AQCS072024000006,20040223131110284850,FEMMINA,38,ITALIA,ITA
AQCS082024000003,20230320115412888189,FEMMINA,31,IRAN,IRN
AQCS122024000001,20200707150503425352,FEMMINA,28,ROMANIA,ROU
AQCS252024000025,20061126010453338751,FEMMINA,43,ITALIA,ITA
AQCS252024000072,20160808112800350274,FEMMINA,34,ITALIA,ITA
AQCS462024000014,19960420111200027225,FEMMINA,41,ITALIA,ITA
AQCS512024000003,20040926004915591904,FEMMINA,51,ITALIA,ITA
AQCS572023000020,19891123123342018582,MASCHIO,51,ITALIA,ITA
AQCS582024000005,20240408082052297475,MASCHIO,14,ITALIA,ITA
AQPC012024000206,20050923115833088891,FEMMINA,45,ITALIA,ITA
AQPC012024000953,20070417111450737051,FEMMINA,46,ITALIA,ITA
AQPC012025000014,20230313163402820305,FEMMINA,19,ITALIA,ITA
AQPC012025000015,20171021154906790652,FEMMINA,20,ITALIA,ITA
AQPC022024000137,20050801211753455801,FEMMINA,40,ITALIA,ITA
AQPQ102024000373,20240223181529555289,FEMMINA,34,TUNISIA,TUN
ARCC112024000193,20111229124810018892,FEMMINA,41,SRI LANKA (CEYLON),LKA
ARCS032024000008,20070514131001300125,FEMMINA,25,ITALIA,ITA
ARCS042024000021,20070507091936891813,FEMMINA,57,ITALIA,ITA
ARCS102023000097,20081108025440756171,MASCHIO,33,ITALIA,ITA
ARCS102023000100,20220831210626095041,MASCHIO,3,ITALIA,ITA
ARCS232024000012,20210915082009173941,FEMMINA,53,STATI UNITI D'AMERICA,USA
ARCS232024850305,20050810110342121647,FEMMINA,39,ITALIA,ITA
ARCS332024000017,20131112174435717607,FEMMINA,29,REPUBBLICA DOMINICANA,DOM
ARCS352024000150,20210204102349202716,FEMMINA,40,AUSTRIA,AUT
ARCS352024000156,20081104122752213369,FEMMINA,34,REGNO UNITO,GBR
ARCS392023850504,20120518234623709224,FEMMINA,42,ROMANIA,ROU
ARCS442025000002,20030221234333566507,FEMMINA,38,ITALIA,ITA
ARPC012024000234,20060403101744891051,FEMMINA,42,ITALIA,ITA
ARPC012024000476,20241105123435828922,FEMMINA,49,VENEZUELA,VEN
ARPQ912024000572,20120523124926949451,FEMMINA,34,BANGLADESH,BGD
ARPQ912024000575,20070325155740375692,MASCHIO,62,ITALIA,ITA
ATCS032025000017,20221019104318867453,MASCHIO,33,GEORGIA,GEO
ATCS142024000060,20150811121452745252,FEMMINA,25,ITALIA,ITA
ATCS142024850937,20090214160421964632,FEMMINA,40,ITALIA,ITA
ATCS162024000034,20000805100840070973,FEMMINA,44,ALBANIA,ALB
ATEV102024000019,20040328155037415260,FEMMINA,45,ITALIA,ITA
AVCS102024850135,20241102181748483948,FEMMINA,10,ITALIA,ITA
AVCS102024850135,20241102181749459928,FEMMINA,7,ITALIA,ITA
AVCS252023000055,20080607180152808598,FEMMINA,67,ITALIA,ITA
AVCS332024000008,20040906100642555837,FEMMINA,54,ITALIA,ITA
AVCS352024000001,20150618224623119522,FEMMINA,30,ITALIA,ITA
AVCS422024850192,19990910094334042187,MASCHIO,56,ITALIA,ITA
AVCS472024000008,20240918152322811273,FEMMINA,54,POLONIA,POL
AVCS492025000013,20130710004753786200,FEMMINA,37,ITALIA,ITA
AVCS542024000024,20060411164217420374,FEMMINA,33,ITALIA,ITA
AVCS672024000004,20230417205014542574,FEMMINA,17,ITALIA,ITA
AVCS692024000042,19970524083330089535,MASCHIO,46,ITALIA,ITA
AVCS722024000010,20090512175811041507,FEMMINA,32,ITALIA,ITA
AVPC012025000022,20250221162032378777,FEMMINA,16,ITALIA,ITA
AVPC012025000025,19880617134523040704,MASCHIO,62,ITALIA,ITA
AVPC022024000418,20030917152633633690,FEMMINA,42,ITALIA,ITA
AVPC022024000424,20240808192653705076,FEMMINA,11,ITALIA,ITA
AVPC032024000242,20181006113936159207,FEMMINA,46,ROMANIA,ROU
BACC192023000345,20030610165802695961,FEMMINA,45,CINA,CHN
BACC192024000071,20170724092803880424,FEMMINA,42,ITALIA,ITA
BACS012024851194,20191105201402700881,FEMMINA,23,ITALIA,ITA
BACS052024000119,20070502222742416439,FEMMINA,35,ITALIA,ITA
BACS072024000027,20240220090538168413,FEMMINA,69,ITALIA,ITA
BACS112024000159,20030418203501440372,FEMMINA,38,ITALIA,ITA
BACS262024000038,19920326094827747386,MASCHIO,78,ITALIA,ITA
BACS262024000038,20120328152842778758,FEMMINA,73,ITALIA,ITA
BACS342024000012,20021028203217106852,FEMMINA,45,ITALIA,ITA
BACS342024000033,20170801045110060062,FEMMINA,36,ITALIA,ITA
BACS352024000002,20110204111952625481,FEMMINA,32,ITALIA,ITA
BACS382024540300,20120804112512595192,FEMMINA,39,ITALIA,ITA
BACS382024540300,20120804112512595192,FEMMINA,40,ITALIA,ITA
BACS492024000068,20241203112416130641,FEMMINA,14,ITALIA,ITA
BACS512024850364,20030624130635691648,FEMMINA,35,ITALIA,ITA
BACS512024851442,20240718153009244685,FEMMINA,33,ITALIA,ITA
BACS542024000008,20140606012208791338,MASCHIO,34,ITALIA,ITA
BACS552023000110,20100421004525785589,FEMMINA,34,ITALIA,ITA
BAEV102023001003,20231229161708303636,FEMMINA,29,MAROCCO,MAR
BAGG432024000086,20240126120115541632,FEMMINA,25,CAMERUN,CMR
BAPC142024000553,20010731115443710292,FEMMINA,45,ITALIA,ITA
BAPC162024000282,20060410183024334129,FEMMINA,46,ITALIA,ITA
BAPC162024000717,20241120001515210607,FEMMINA,33,ITALIA,ITA
BAPQ302024000166,20050530191200753311,FEMMINA,60,ITALIA,ITA
BAPQ302024000221,20050619105910547122,FEMMINA,51,ITALIA,ITA
BGCC012024000007,20170808161453396174,FEMMINA,30,NIGERIA,NGA
BGCC012024000068,20200916150604448828,FEMMINA,37,ROMANIA,ROU
BGCC012024000068,20240320114828262658,FEMMINA,6,ITALIA,ITA
BGCC012024000068,20240320115117682886,MASCHIO,1,ITALIA,ITA
BGCC012024000068,20240320115157809360,MASCHIO,1,ROMANIA,ROU
BGCC042024000144,20040930094249312580,FEMMINA,36,MAROCCO,MAR
BGCC062024000030,20240329145259724287,FEMMINA,44,ROMANIA,ROU
BGCS012025000016,20160927135927700622,FEMMINA,24,ITALIA,ITA
BGCS022024000020,20131118091311440426,FEMMINA,24,BOSNIA ED ERZEGOVINA,BIH
BGCS032024000019,20240405184416465320,MASCHIO,44,ITALIA,ITA
BGCS042024000103,20100417104535923837,FEMMINA,28,ITALIA,ITA
BGCS052024000002,20040321153234971770,FEMMINA,41,ITALIA,ITA
BGCS052024000035,20020901210826194670,MASCHIO,68,ITALIA,ITA
BGCS052024000035,20100129130823818681,FEMMINA,54,TANZANIA,TZA
BGCS052024000035,20140420093201539745,MASCHIO,62,ITALIA,ITA
BGCS062024000021,20080319090004412639,FEMMINA,58,ITALIA,ITA
BGCS112024000038,19980525125102240568,FEMMINA,51,ITALIA,ITA
BGCS112024000099,20100720083103280955,FEMMINA,52,ITALIA,ITA
BGCS112024000123,20060306110125427879,MASCHIO,57,ITALIA,ITA
BGCS112024000134,20100427035352510464,FEMMINA,36,ITALIA,ITA
BGCS142024000072,20220103172053800231,FEMMINA,40,ITALIA,ITA
BGCS142024000200,20240824191439843492,FEMMINA,25,ROMANIA,ROU
BGCS152023000197,20030712125628357883,FEMMINA,49,ITALIA,ITA
BGCS152024000014,20161124153924988159,MASCHIO,18,ITALIA,ITA
BGCS152024000053,20220913125552259309,FEMMINA,18,ITALIA,ITA
BGCS152024000170,20180829170234766447,FEMMINA,34,EL SALVADOR,SLV
BGCS182024000007,19970103091544740568,FEMMINA,52,ITALIA,ITA
BGCS192024000002,20220406201707495087,MASCHIO,57,ITALIA,ITA
BGCS212024164613,20040216193248831101,MASCHIO,46,TUNISIA,TUN
BGCS212025454546,20240714095830724800,FEMMINA,71,ITALIA,ITA
BGCS212025486035,20040229013132976033,FEMMINA,38,ITALIA,ITA
BGCS232023000139,20190317110216695227,FEMMINA,30,MAROCCO,MAR
BGCS232024000077,20070120085830957857,FEMMINA,37,ITALIA,ITA
BGCS232024000098,20231218200032170792,FEMMINA,17,ITALIA,ITA
BGCS232024000123,20220920024532238245,FEMMINA,24,BOLIVIA,BOL
BGCS262021000160,20070303094841273076,FEMMINA,35,ITALIA,ITA
BGCS262024000051,20150822125441078078,FEMMINA,27,MAROCCO,MAR
BGCS272022000104,20111124103222366165,FEMMINA,82,ERITREA,ERI
BGCS282023851696,20060304095940007372,FEMMINA,37,ITALIA,ITA
BGCS282024000066,20040516155359612668,FEMMINA,58,ITALIA,ITA
BGCS302024000037,20170210122356772365,FEMMINA,41,PERU',PER
BGCS302025000004,20240419141619289393,FEMMINA,22,ALGERIA,DZA
BGCS322023851168,20130722192816789649,FEMMINA,42,ITALIA,ITA
BGCS322025000032,20170721013654218361,FEMMINA,16,ITALIA,ITA
BGCS342024000089,20220727092248888404,FEMMINA,31,MAROCCO,MAR
BGCS352023000137,20060112175403664533,FEMMINA,55,ITALIA,ITA
BGCS352024000192,20030722184749850893,FEMMINA,42,ITALIA,ITA
BGCS362025000016,20070710131609343476,FEMMINA,43,MOLDAVIA,MDA
BGCS392024000002,20020608035119882124,FEMMINA,40,ITALIA,ITA
BGCS392024000127,20210401103050839308,FEMMINA,6,ITALIA,ITA
BGCS412024000016,20121206104743078460,FEMMINA,74,ITALIA,ITA
BGCS442024000039,19921207151838583704,FEMMINA,54,ITALIA,ITA
BGCS462024000018,20080218213425848250,FEMMINA,57,ITALIA,ITA
BGCS462024000018,20201024093345238202,FEMMINA,19,ITALIA,ITA
BGCS462024000090,20080802115457490598,FEMMINA,58,JUGOSLAVIA ETNIA KOSSOVARA,UNK
BGCS462024000105,20220402182915656291,FEMMINA,21,ITALIA,ITA
BGCS472024000009,20170731175932498288,FEMMINA,24,JUGOSLAVIA ETNIA KOSSOVARA,UNK
BGCS472024000019,20150801135307688572,FEMMINA,17,MOLDAVIA,MDA
BGCS482023000073,20070926145937595111,FEMMINA,46,ITALIA,ITA
BGCS482024000030,20090130144526312367,FEMMINA,53,ITALIA,ITA
BGCS502024000045,20040823131903023842,FEMMINA,55,ITALIA,ITA
BGCS502024850309,20050525114406272034,FEMMINA,47,ITALIA,ITA
BGCS502024850893,20040325162804752728,FEMMINA,55,ITALIA,ITA
BGEVI12024000020,20070926155110314170,FEMMINA,30,ALBANIA,ALB
BGPC012024850596,20240701191622682790,FEMMINA,27,ITALIA,ITA
BGPQ102024000358,20110622182247850302,FEMMINA,37,UCRAINA,UKR
BGPQ302024000007,20230822032216444970,FEMMINA,23,MAROCCO,MAR
BGPQ302024000031,20230306184340844437,FEMMINA,13,ITALIA,ITA
BGPQ302024000130,20051116005536628216,FEMMINA,38,ITALIA,ITA
BICC012024000021,20050530140403967028,FEMMINA,21,SVIZZERA,CHE
BICS012024000034,20011031090826112618,FEMMINA,56,ITALIA,ITA
BICS012024000035,20241026173424756631,FEMMINA,4,ITALIA,ITA
BICS012024000035,20241026175258146399,FEMMINA,2,ITALIA,ITA
BICS072024000014,19910707043143072027,FEMMINA,48,ITALIA,ITA
BICS072024000017,20020908022617154959,FEMMINA,41,ITALIA,ITA
BICS072024000049,20060906000323807174,FEMMINA,36,ITALIA,ITA
BICS072024000062,20160104214239299844,FEMMINA,26,ITALIA,ITA
BICS162024000029,20240618140602204740,MASCHIO,8,ITALIA,ITA
BIPQ302024000056,20240207084323188869,FEMMINA,32,TUNISIA,TUN
BIPQ302024000145,20110816203417912815,FEMMINA,34,ITALIA,ITA
BIPQ302024000151,20170914194910905502,FEMMINA,21,ITALIA,ITA
BLCP032024000007,20240621142802784048,FEMMINA,3,ITALIA,ITA
BLCP032024000009,19890110181151616297,FEMMINA,85,ITALIA,ITA
BLCS022024000021,20071123072150449603,FEMMINA,44,ITALIA,ITA
BLCS072024000020,19921019160956976685,MASCHIO,64,ALBANIA,ALB
BLCS132024000025,20100322023417233227,FEMMINA,42,ITALIA,ITA
BLCS172023000115,19981005184002005762,FEMMINA,54,ITALIA,ITA
BLCS172024000104,20240731101850222404,FEMMINA,14,ITALIA,ITA
BLCS182023000069,20080321011030473474,FEMMINA,33,ITALIA,ITA
BLCS182024000001,19950309142826070336,FEMMINA,47,ITALIA,ITA
BLCS182024000001,19961127171834218078,MASCHIO,60,ITALIA,ITA
BLCS222024000038,20170620101045555310,FEMMINA,22,MAROCCO,MAR
BLCS252024000095,20240630144322464111,FEMMINA,22,ITALIA,ITA
BLPQ102023001915,20190516150914770344,FEMMINA,26,MOLDAVIA,MDA
BLPQ102023001925,20211227121259030346,FEMMINA,16,ITALIA,ITA
BLPQ302023000058,20151127153001908271,FEMMINA,37,UCRAINA,UKR
BLPQ302023000059,20201005123809687803,FEMMINA,21,ITALIA,ITA
BLPQ302024000023,20030717095424792023,MASCHIO,58,MOLDAVIA,MDA
BLPQ302025000005,20130126093118188460,FEMMINA,26,TURCHIA,TUR
BNCS092025000018,20200531143137002072,MASCHIO,20,ITALIA,ITA
BNCS132024000003,20020524060514710929,FEMMINA,44,ITALIA,ITA
BNCS132024000006,20200228143931430506,FEMMINA,44,ITALIA,ITA
BNCS142024000012,20140713110116538395,FEMMINA,20,ROMANIA,ROU
BNCS152024000007,20191101113525221474,FEMMINA,27,NIGERIA,NGA
BNCS172024850130,20220913105035770854,FEMMINA,48,COLOMBIA,COL
BNCS242024000710,20161127232409541144,FEMMINA,27,ITALIA,ITA
BNCS242024850529,20150318184934503569,FEMMINA,29,ITALIA,ITA
BNCS252023000013,20030912110256451604,FEMMINA,40,ITALIA,ITA
BNCT012025000002,20010812083907191423,FEMMINA,66,ITALIA,ITA
BNPQ302025020005,20030423153537481635,FEMMINA,40,ITALIA,ITA
BOCS022024000028,20210113102906302065,FEMMINA,36,INDONESIA,IDN
BOCS112024000002,20210916165125487686,FEMMINA,19,ITALIA,ITA
BOCS112024000063,19960511095810576445,MASCHIO,67,ITALIA,ITA
BOCS132024850093,20060423110205364271,FEMMINA,34,BRASILE,BRA
BOCS202024000092,20110506125118962064,FEMMINA,40,BANGLADESH,BGD
BOCS202024000092,20160227130558505165,FEMMINA,18,BANGLADESH,BGD
BOCS212024000011,20060515100031660212,FEMMINA,35,ITALIA,ITA
BOCS222024000002,20111222134623174733,FEMMINA,31,MAROCCO,MAR
BOCS222024000026,20121011093549557732,FEMMINA,44,ROMANIA,ROU
BOCS252024850291,20030307140750521362,FEMMINA,56,ITALIA,ITA
BOCS252024850762,20150409091132112735,FEMMINA,29,ITALIA,ITA
BOCS272024000053,20021024155103504297,FEMMINA,73,ITALIA,ITA
BOCS302024000001,20071128100533667146,FEMMINA,30,ITALIA,ITA
BOCS322024000007,20220830191848762227,FEMMINA,76,ITALIA,ITA
BOCS322024000022,19931216080112031594,FEMMINA,50,ITALIA,ITA
BOCS322024000022,20210214081705517239,FEMMINA,23,ITALIA,ITA
BOCS322024000022,20221003135525184164,MASCHIO,12,ITALIA,ITA
BOCS332024000001,20100910091934155410,FEMMINA,92,ITALIA,ITA
BOCS342024000021,19900404203438420003,MASCHIO,66,ITALIA,ITA
BOCS362024000033,20100924092832658823,FEMMINA,22,ITALIA,ITA
BOCS362024000053,20000222125444082757,MASCHIO,41,BRASILE,BRA
BOCS362024000055,20230323151854114112,FEMMINA,17,ITALIA,ITA
BOCS362024850233,19981116121318003110,FEMMINA,53,UCRAINA,UKR
BOCS372024000039,19950315094532159054,FEMMINA,49,ITALIA,ITA
BOCS372024000122,20030918105515998024,FEMMINA,31,UCRAINA,UKR
BOCS392024000006,20200821194830982948,FEMMINA,35,MAROCCO,MAR
BOCS402024000025,20221023121951369998,FEMMINA,58,ITALIA,ITA
BOCS402024000042,20240811170934492406,FEMMINA,37,ROMANIA,ROU
BOCS402024850540,20040826014505654060,FEMMINA,37,ITALIA,ITA
BOCS442024000056,20240103155953103874,FEMMINA,17,TUNISIA,TUN
BOCS442024000088,20071228162526311712,FEMMINA,35,ITALIA,ITA
BOCS452023000087,19960311104512004548,FEMMINA,46,ITALIA,ITA
BOCS452024000082,20090414103244048682,FEMMINA,39,ITALIA,ITA
BOCS452024850489,19980917140710004934,MASCHIO,76,ITALIA,ITA
BOCS502024000004,20180322095239331562,FEMMINA,26,ALBANIA,ALB
BOCS502024000010,20240310014122137144,FEMMINA,40,ITALIA,ITA
BOCS512023000236,20070103155237499705,MASCHIO,35,ROMANIA,ROU
BOCS512024000187,20030805110348952787,FEMMINA,40,ITALIA,ITA
BOCS522024000018,20130518152745582728,FEMMINA,64,ITALIA,ITA
BOCS532024000041,20000708154404992229,FEMMINA,77,ITALIA,ITA
BOCS532024000065,20111209173943849267,FEMMINA,26,MOLDAVIA,MDA
BOCS552024000028,20210528112508871305,FEMMINA,32,PERU',PER
BOCS562024000014,20090507130443818174,FEMMINA,32,MOLDAVIA,MDA
BOCS562024000018,20121207115132050172,FEMMINA,41,FEDERAZIONE RUSSA,RUS
BOCS562024850071,20161116081506310925,FEMMINA,33,MAROCCO,MAR
BOCS562025000005,20200819120201415318,FEMMINA,19,PAKISTAN,PAK
BOCS592024000002,20010621174811663063,FEMMINA,57,ITALIA,ITA
BOCS622024000014,20170911223316606047,FEMMINA,17,MOLDAVIA,MDA
BOCS662024000007,20170811125250974538,FEMMINA,26,PERU',PER
BOCS662024000021,19991108084551067448,FEMMINA,67,ITALIA,ITA
BOCS662024000021,20100929115150904256,MASCHIO,71,ITALIA,ITA
BOCS662024000082,20191210142852409912,FEMMINA,20,ITALIA,ITA
BOCS782024000004,20160330164415332256,FEMMINA,52,ITALIA,ITA
BOCS782024000008,20010831111641583876,FEMMINA,52,ALBANIA,ALB
BOCS782024000048,19890414090142009987,MASCHIO,51,ITALIA,ITA
BOCS782024000094,20220528015321696256,FEMMINA,51,MAROCCO,MAR
BOCS792024850085,20020806104911505383,FEMMINA,42,ITALIA,ITA
BOPC022024000004,20150120095332588658,FEMMINA,26,ITALIA,ITA
BOPC022024000024,20070205172219784453,FEMMINA,39,NIGERIA,NGA
BOPC022024000100,20030607083728141730,FEMMINA,42,ITALIA,ITA
BOPC022024000174,20131113103510755229,FEMMINA,51,UCRAINA,UKR
BOPC042024000134,20020808110254636015,FEMMINA,52,ITALIA,ITA
BOPC062024000497,20241125135900276206,FEMMINA,39,ROMANIA,ROU
BOPQ102024000053,20020121184003292929,FEMMINA,45,NIGERIA,NGA
BOPQ102024000407,20240213101956300499,FEMMINA,84,ITALIA,ITA
BOPQ312023000038,20110628014520951446,FEMMINA,28,ITALIA,ITA
BOPQ312023000350,20161001101631098468,FEMMINA,16,ITALIA,ITA
BOPQ312024000045,20240304104130438709,FEMMINA,12,ITALIA,ITA
BOPQ312025000305,20250414101942164834,FEMMINA,34,ROMANIA,ROU
BRCC022023850016,20230609180120065337,MASCHIO,34,ITALIA,ITA
BRCC022024000062,20051212110324556130,FEMMINA,64,ITALIA,ITA
BRCC022024000062,20130113210016420169,FEMMINA,26,ITALIA,ITA
BRCS032024850066,19840606155642010698,MASCHIO,58,ITALIA,ITA
BRCS042024000057,20180122021455665995,FEMMINA,20,ITALIA,ITA
BRCS172025000025,20061008022225426181,FEMMINA,36,ITALIA,ITA
BRCS202024000035,20240712080443366986,FEMMINA,62,ITALIA,ITA
BRCS212023852043,20051202065229065396,MASCHIO,48,ITALIA,ITA
BRPC022024000160,20171221210928877725,FEMMINA,49,ITALIA,ITA
BRPC022025000038,20250124172510352244,FEMMINA,19,GUINEA,GIN
BRPQ302024000033,20030112221234043041,FEMMINA,37,ITALIA,ITA
BSCC042024000079,20140512142845915031,FEMMINA,40,ITALIA,ITA
BSCC102023000144,20020506214618835922,FEMMINA,48,ITALIA,ITA
BSCC102024000099,20041218152117817795,FEMMINA,33,ITALIA,ITA
BSCS012024000023,20170112154003706482,FEMMINA,14,ITALIA,ITA
BSCS032024000023,20201126075418680083,FEMMINA,4,ITALIA,ITA
BSCS072024850159,20240123064724720256,FEMMINA,27,ITALIA,ITA
BSCS092024000048,19920401100606956239,FEMMINA,62,ITALIA,ITA
BSCS092024000060,20180105220609607285,FEMMINA,23,ITALIA,ITA
BSCS092024000102,20241204160532059164,FEMMINA,71,ITALIA,ITA
BSCS112024000130,20241224123356717420,FEMMINA,40,SRI LANKA (CEYLON),LKA
BSCS122024000007,20140624120340384980,FEMMINA,35,MAROCCO,MAR
BSCS122024000088,20191109101453751336,FEMMINA,16,ITALIA,ITA
BSCS132024000004,20240209135321907565,FEMMINA,78,ITALIA,ITA
BSCS152024000047,20190725144128859648,MASCHIO,16,UCRAINA,UKR
BSCS172024000022,20180112112919193155,FEMMINA,15,ITALIA,ITA
BSCS202024000054,20150212190813258211,FEMMINA,50,MAROCCO,MAR
BSCS202024850270,20031111095539612982,FEMMINA,38,BOLIVIA,BOL
BSCS222024850565,20240609164133121159,FEMMINA,31,ITALIA,ITA
BSCS242023000180,20131019080125745003,FEMMINA,30,JUGOSLAVIA ETNIA KOSSOVARA,UNK
BSCS242024000130,20080727121408496666,FEMMINA,53,ROMANIA,ROU
BSCS262024000004,20191213113002737784,FEMMINA,23,ITALIA,ITA
BSCS272024000010,20220617074016579253,FEMMINA,36,INDIA,IND
BSCS272024000014,20050201013651798581,FEMMINA,61,ITALIA,ITA
BSCS272024000088,19991124172002853943,MASCHIO,50,ITALIA,ITA
BSCS282024800022,20071206131951551257,FEMMINA,56,GHANA,GHA
BSCS322023000036,20230415094403534133,FEMMINA,43,ITALIA,ITA
BSCS322024000044,20050515102309612441,FEMMINA,43,ITALIA,ITA
BSCS352024000004,20040506164727459520,FEMMINA,52,ITALIA,ITA
