PROT_SDI,COD_VITTIMA,SEX_VITTIMA,ETA_VITTIMA,NAZIONE_NASCITA_VITTIMA,NAZIONE_NASCITA_VITTIMA_ISO
AGCC012024000130,20240716150541803567,MASCHIO,12,ITALIA,ITA
AGCP032024000026,19940922171706086657,MASCHIO,47,ITALIA,ITA
AGCS012024000053,20130224204339951023,FEMMINA,36,ROMANIA,ROU
AGCS012024000055,20180429230842044324,FEMMINA,40,ITALIA,ITA
AGCS012024850090,20051118125555443479,FEMMINA,43,ITALIA,ITA
AGCS052024000024,20170204152551835694,FEMMINA,35,ITALIA,ITA
AGCS182024000005,19960611110956024918,MASCHIO,56,ITALIA,ITA
AGCS202024850243,20060911000641265035,FEMMINA,35,ITALIA,ITA
AGCS232024000004,20240224060602545632,FEMMINA,15,ITALIA,ITA
AGCS252024850001,20240104115100247270,FEMMINA,22,ROMANIA,ROU
AGCS312022000001,20191122162757829444,FEMMINA,45,ITALIA,ITA
AGCS342024000004,20240222104923850398,FEMMINA,33,ITALIA,ITA
AGCS422024850330,20000308080224067644,FEMMINA,65,ITALIA,ITA
AGCS422024850330,20030114165928364839,FEMMINA,41,ITALIA,ITA
AGCS492024850605,20190328081311564846,MASCHIO,50,ROMANIA,ROU
AGPC012024501012,20011212013133056305,FEMMINA,49,ITALIA,ITA
AGPC012024501023,20101125004713223251,FEMMINA,28,ITALIA,ITA
AGPC012024501023,20240703075925298554,MASCHIO,6,ITALIA,ITA
AGPC012024501064,20241014113017234917,MASCHIO,59,GERMANIA,DEU
AGPC032024000060,20240816120636572953,FEMMINA,47,ITALIA,ITA
AGPC032024000069,20010913001632981793,MASCHIO,32,ITALIA,ITA
AGPC032024000069,20160729220356384136,FEMMINA,26,ITALIA,ITA
AGPQ102024000003,20230814134349829226,FEMMINA,27,COSTA D'AVORIO,CIV
AGPQ102024000057,20080220224619807589,FEMMINA,49,ITALIA,ITA
AGPQ102024000114,20150331113204917864,MASCHIO,28,ITALIA,ITA
AGPQ302023000071,20100607083937698801,FEMMINA,45,ITALIA,ITA
ALCC012024000151,19931213083551040568,FEMMINA,53,ITALIA,ITA
ALCS092024000002,20190122120744297989,FEMMINA,51,ITALIA,ITA
ALCS132024000005,20010822161941847119,FEMMINA,42,ITALIA,ITA
ALCS152024000028,20000317011131783704,FEMMINA,53,ITALIA,ITA
ALCS182024000012,20230704125246113770,FEMMINA,26,MAROCCO,MAR
ALCS202024000035,20090422085007363632,FEMMINA,52,ITALIA,ITA
ALCS202024000081,20230708215246111191,FEMMINA,60,MAROCCO,MAR
ALCS202024000100,20201220104345174430,FEMMINA,24,BANGLADESH,BGD
ALCS252024000022,20100817141411234259,FEMMINA,61,ITALIA,ITA
ALCS252024000023,20210606190043711902,FEMMINA,17,ITALIA,ITA
ALCS272024000040,20031019134021383308,MASCHIO,56,ROMANIA,ROU
ALCS292024000013,20021110114840228885,FEMMINA,61,ITALIA,ITA
ALCS352024000007,20041007102900027060,FEMMINA,36,ITALIA,ITA
ALCS352024000016,20010907194724540902,FEMMINA,42,ITALIA,ITA
ALCS352024000018,20040119103317420417,FEMMINA,66,ITALIA,ITA
ALCS432024000022,20030805085641402831,FEMMINA,42,ITALIA,ITA
ALCS552024000013,20100222143600224724,FEMMINA,43,ITALIA,ITA
ALCS552024850024,20060613225151803686,FEMMINA,44,ITALIA,ITA
ALCS562024000009,20090131104954637247,FEMMINA,62,ITALIA,ITA
ALCS562024000022,20030611161856041029,FEMMINA,56,UCRAINA,UKR
