PROT_SDI,ART,T_NORMA,RIF_LEGGE,DES_REA_EVE
BOCS112024000063,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024000235,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NAPQ102024000133,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CNCS332025000010,609,CP,,VIOLENZA SESSUALE
MIPG302024000048,582,CP,,LESIONI PERSONALI
CHCS152024000004,612,CP,,MINACCIA
BOCS442024000088,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRPQV02024000057,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001084,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
AVCS102024850135,609,CP,,VIOLENZA SESSUALE AGGRAVATA
PVCS232025000007,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MICS0H2023000071,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NOPQ302024000043,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOCS372024000039,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NOCS102024000046,612,CP,,MINACCIA - ATTI PERSECUTORI -
PSPQ102025000402,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMCS1W2025000031,612,CP,,MINACCIA - ATTI PERSECUTORI -
PGPQ102024000854,582,CP,,LESIONI PERSONALI
FRCS332024000022,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PZCS662024000056,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CRCS262024000013,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PRCS322024000064,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CSCS492023000025,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TVCS052024000010,582,CP,,LESIONI PERSONALI
FOCS302024000165,612,CP,,MINACCIA - ATTI PERSECUTORI -
MBPQ702024000001,581,CP,,PERCOSSE
RMCS472024852759,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOCS452023000087,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GECS492024000049,612,CP,,MINACCIA - ATTI PERSECUTORI -
PVCS142024233024,612,CP,,MINACCIA - ATTI PERSECUTORI -
ATCS162024000034,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NAPC102024400024,582,CP,,LESIONI PERSONALI
NAPC162024000336,612,CP,,MINACCIA - ATTI PERSECUTORI -
VRCS152024000037,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS972024851388,612,CP,,MINACCIA
SAPT102024000018,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VCPQ702024000032,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCP032024000069,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
TNCS202024000007,582,CP,,LESIONI PERSONALI
TAPC042024130026,582,CP,,LESIONI PERSONALI
RMPC492024000255,612,CP,,MINACCIA - ATTI PERSECUTORI -
NACS512024851833,612,CP,,MINACCIA - ATTI PERSECUTORI -
BTPQ102024000223,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MSPC022024100020,582,CP,,LESIONI PERSONALI
CTPQ102025011499,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMCS852024851003,582,CP,,LESIONI PERSONALI
PAPC172025000039,610,CP,,VIOLENZA PRIVATA
PAPC042024000497,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PAPC182024301823,582,CP,,LESIONI PERSONALI
RMCS472024851216,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
POPQ102024102523,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC472025400080,609,CP,,VIOLENZA SESSUALE
RMCS0U2024000232,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCP032024000065,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCP032024000045,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC252024000682,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS1W2024000176,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AGCS492024850605,612,CP,,MINACCIA
PACS542024000129,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TNCS372024850009,609,CP,,VIOLENZA SESSUALE AGGRAVATA
MOCS062024000021,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTCS652024850636,612,CP,,MINACCIA
TOPC132024000029,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI IN DANNO DI MINORE/DONNA IN GRAVIDANZA/PERSONA CON DISABILITA'
GRCS142024000014,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS572024000080,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MIPC222024000382,635,CP,,DANNEGGIAMENTO
MOPQV02024000904,581,CP,,PERCOSSE
BGCS442024000039,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024000128,643,CP,,CIRCONVENZIONE DI PERSONA INCAPACE
MECS352023000070,610,CP,,VIOLENZA PRIVATA
SRCS232024000003,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MTCS022023000048,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS472024854457,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
TOPQ102023002578,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
AQCS582024000005,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
