PROT_SDI,ART,T_NORMA,RIF_LEGGE,DES_REA_EVE
VACC042024000050,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FICS442024000044,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001756,582,CP,,LESIONI PERSONALI
VRPQV02024001224,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS122024000116,612,CP,,MINACCIA - ATTI PERSECUTORI -
BRCC022023850016,609,CP,,VIOLENZA SESSUALE DI GRUPPO
PZCS162024000051,582,CP,,LESIONI PERSONALI
TPCT022024000001,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
FGCS242025000006,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LTCS112024000026,575,CP,,OMICIDIO DOLOSO
ALCS352024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PACS372024850802,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PEPT102025000003,582,CP,,LESIONI PERSONALI
PAPC032024001215,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CSCS622024000059,629,CP,,ESTORSIONE
RMCS192024000020,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BZCS272025000002,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTCS032024000034,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TAPC042023120262,609,CP,,VIOLENZA SESSUALE
BAPQ302024000221,629,CP,,ESTORSIONE
VRPQV02024001728,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRCS052024000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MICS462024000111,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CSCS692024000001,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LIPQ702024000023,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CLPC012024001135,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PTCS152024850060,612,CP,,MINACCIA - ATTI PERSECUTORI -
PGPQ102024500105,582,CP,,LESIONI PERSONALI
TOCS872025850644,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOCS522024000018,575,CP,,OMICIDIO DOLOSO
AOCS162023850097,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC212024000769,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCP052024000050,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ROCS242024000015,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCS272022000104,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PDCS052023000096,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024002344,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MTCS032024850104,582,CP,,LESIONI PERSONALI
BTPQ002024001823,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
POCS062024850315,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRCS112024850222,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRCS502023000070,609,CP,,VIOLENZA SESSUALE
TOCS772024000070,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCS272025000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AVCS472024000008,609,CP,,VIOLENZA SESSUALE
MOCS322023850953,612,CP,,MINACCIA - ATTI PERSECUTORI -
UDCS432025850029,612,CP,,MINACCIA - ATTI PERSECUTORI -
BSCS772024000001,582,CP,,LESIONI PERSONALI
BGCS112024000038,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BTCC052024000141,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GEPC062024000071,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AQCC022024000058,612,CP,,MINACCIA - ATTI PERSECUTORI -
TNCS332024000017,601,CP,,TRATTA E COMMERCIO DI SCHIAVI - C.P. ART. 601 C.1
PECS162023000019,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
PGPQ302024000007,609,CP,,VIOLENZA SESSUALE
FICS302024000064,582,CP,,LESIONI PERSONALI
MSCS142024000033,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOPQ102023002570,612,CP,,MINACCIA
TSPC012024000080,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GOPC012024000581,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PGPQ102024000302,612,CP,,MINACCIA
PGPQ102024000302,582,CP,,LESIONI PERSONALI
PGPQ102024001562,612,CP,,MINACCIA
RACS172023000090,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS842024853275,582,CP,,LESIONI PERSONALI
CNCS762024000018,635,CP,,DANNEGGIAMENTO
ANCS072024000003,609,CP,,VIOLENZA SESSUALE
VBCS142024000074,612,CP,,MINACCIA
BSPQ102024000181,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
VICS362024000001,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RNCS022024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS262024000004,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS722024000001,582,CP,,LESIONI PERSONALI
BTCC052024000111,609,CP,,VIOLENZA SESSUALE
CHCS162024000009,609,CP,,VIOLENZA SESSUALE
RMPC232024010261,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VACS372024000007,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NAPC432023000327,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VVPQ102024000571,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001452,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
TOPC012024000224,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VCPQ302024000018,575,CP,,OMICIDIO DOLOSO
MICS152024000001,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
CTCS612024000001,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BZCS552024000010,612,CP,,DIFFUSIONE ILLECITA DI IMMAGINI O VIDEO SESSUALMENTE ESPLICITI - C.P. 612 TER
PGPQ102024000133,582,CP,,LESIONI PERSONALI
BSCS362024000085,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC442024000450,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMCS602024850470,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CACS132024000025,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCP052024000895,629,CP,,ESTORSIONE
TACS102024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PACS992023000096,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
MEPC042024000825,612,CP,,MINACCIA
PEPT102025000004,609,CP,,VIOLENZA SESSUALE
SICS372024000071,582,CP,,LESIONI PERSONALI
MOCS042024850844,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
BACS512024851442,612,CP,,MINACCIA
MNCS382024000024,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102023002375,612,CP,,MINACCIA
SACS642024000182,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTCS392024000045,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CHPQ102024000546,612,CP,,MINACCIA - ATTI PERSECUTORI -
TAPC022024000017,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024000082,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
VEPC082024310039,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RAEV102024000902,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS092024000060,582,CP,,LESIONI PERSONALI
VEEV352024000099,582,CP,,LESIONI PERSONALI
PGPQ102024002340,610,CP,,VIOLENZA PRIVATA
PGPQ102024002340,582,CP,,LESIONI PERSONALI
ALCS152024000028,582,CP,,LESIONI PERSONALI
AOPQ102024001264,582,CP,,LESIONI PERSONALI
RMCS472024854490,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BZCS122025000013,609,CP,,VIOLENZA SESSUALE
TVCS322023850662,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCS022024000020,612,CP,,MINACCIA - ATTI PERSECUTORI -
BSCS172024000022,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AOCS122024000001,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PACS092024850314,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRPQ302024000088,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LOCS042025000006,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
COCS292024000059,582,CP,,LESIONI PERSONALI
LECS582024850117,605,CP,,SEQUESTRO DI PERSONA - FATTISPECIE BASE - ART. 605 CP
PCCS212024000011,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGCS222024000090,612,CP,,MINACCIA
PGPQ102024001157,612,CP,,MINACCIA
VRPQ302024000057,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SICS282023000094,609,CP,,VIOLENZA SESSUALE
PAPC112024000880,612,CP,,MINACCIA
RACS062024000000,629,CP,,ESTORSIONE
FGPQ102024000009,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
NOCS152024000033,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS322024000044,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MSCS132024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PDCS382024000004,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LICC012023000231,612,CP,,MINACCIA - ATTI PERSECUTORI -
BSCS152024000047,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS202024000054,582,CP,,LESIONI PERSONALI
PDCS012023000049,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
MECS522024000020,635,CP,,DANNEGGIAMENTO
VACS242024000029,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TNCS042024850217,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MNPQ102024001304,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ALCS182024000012,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MECS572024850204,612,CP,,MINACCIA
BACS542024000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
COPQ302023000137,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
COPQ302024000127,609,CP,,VIOLENZA SESSUALE AGGRAVATA
SACS322024850088,582,CP,,LESIONI PERSONALI
AQPC012024000206,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PICE022024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TSPC042024000054,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SRPC022024000209,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GEPQ102024501103,614,CP,,VIOLAZIONE DI DOMICILIO
GEPC052024200298,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LOPQ702024000074,612,CP,,MINACCIA
MOPQ102024501039,581,CP,,PERCOSSE
FECS142024100006,582,CP,,LESIONI PERSONALI
MICS572024851896,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PAPC092024000433,612,CP,,MINACCIA
MIPQ182024223569,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MIPC012024150308,582,CP,,LESIONI PERSONALI
TOPC072023000727,609,CP,,VIOLENZA SESSUALE
CTCS202024850343,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AVCS422024850192,635,CP,,DANNEGGIAMENTO
MIPQ182024336237,609,CP,,ATTI SESSUALI CON MINORENNE
MSPC022024105216,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
CTCS642025000024,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS2J2024000231,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MEPC042024000022,612,CP,,MINACCIA - ATTI PERSECUTORI -
SOPQ102024000284,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ARCS032024000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
POPQ102024102066,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC212024003466,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC212024003388,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMPC292020200100,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMCP032024000049,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC232024010101,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMCP032024000050,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMCP032024000052,612,CP,,MINACCIA - ATTI PERSECUTORI -
BOCS252024850291,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
FECS122023000100,582,CP,,LESIONI PERSONALI
FECS242024000048,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LIPQ702024000048,609,CP,,VIOLENZA SESSUALE
TVCS072024000014,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
ARPC012024000476,582,CP,,LESIONI PERSONALI
TPPC052024000164,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
LUCS132024000165,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMCS012024000160,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MBCS032024000016,610,CP,,VIOLENZA PRIVATA
CSCS802024000011,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
MBCS142024000013,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCS052024000035,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MCCS152024000017,581,CP,,PERCOSSE
VBCS142024000047,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS472025850121,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CHPQ102024000406,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC522024501167,612,CP,,MINACCIA
TVCS172023852365,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI IN DANNO DI MINORE/DONNA IN GRAVIDANZA/PERSONA CON DISABILITA'
RMCS852024000032,612,CP,,MINACCIA - ATTI PERSECUTORI -
PRCC042023000045,575,CP,,OMICIDIO DOLOSO
SICS132024000048,577,CP,,ALTRE CIRCOSTANZE AGGRAVANTI PREVISTE PER ART. 575
BOPC022024000100,582,CP,,LESIONI PERSONALI
APCC022024000116,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TVCS382024000050,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PICC012025000161,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC122024000030,612,CP,,MINACCIA
CEPC052024300014,582,CP,,LESIONI PERSONALI
RACS202024000052,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
