PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
AQPC012025000015,,NON INDICATO,,,
AQPC022024000137,20040418044453810151,MASCHIO,42,ITALIA,ITA
AQPQ102024000373,,NON INDICATO,,,
ARCC112024000193,20080128112138179639,MASCHIO,40,SRI LANKA (CEYLON),LKA
ARCS032024000008,,NON INDICATO,,,
ARCS042024000021,19991119142019048771,MASCHIO,61,ITALIA,ITA
ARCS102023000097,,NON INDICATO,,,
ARCS102023000097,20010816220801638762,FEMMINA,38,ITALIA,ITA
ARCS102023000097,20081108025440756171,MASCHIO,33,ITALIA,ITA
ARCS102023000100,20130927164449706317,MASCHIO,27,ITALIA,ITA
ARCS232024000012,,NON INDICATO,,,
ARCS232024850305,20020430092401025522,MASCHIO,39,ITALIA,ITA
ARCS332024000017,20240404103519398677,MASCHIO,36,REPUBBLICA DOMINICANA,DOM
ARCS352024000150,20150803183229055759,MASCHIO,31,NIGERIA,NGA
ARCS352024000156,20041102105856441907,MASCHIO,33,ITALIA,ITA
ARCS392023850504,19961007112633007039,MASCHIO,47,ITALIA,ITA
ARCS442025000002,20091030014741201371,MASCHIO,69,ITALIA,ITA
ARPC012024000234,,NON INDICATO,,,
ARPC012024000476,,NON INDICATO,,,
ARPQ912024000572,20060419091321965184,MASCHIO,40,BANGLADESH,BGD
ARPQ912024000575,20030805163947189240,FEMMINA,42,ROMANIA,ROU
ATCS032025000017,20060612015004356742,MASCHIO,41,ITALIA,ITA
ATCS142024000060,20130728023536504923,MASCHIO,26,ITALIA,ITA
ATCS142024850937,20020114125522599567,MASCHIO,48,ITALIA,ITA
ATCS162024000034,19931230123111079912,MASCHIO,50,ITALIA,ITA
ATEV102024000019,19910511150216856225,MASCHIO,59,ITALIA,ITA
AVCS102024850135,20050430101401577292,MASCHIO,59,ITALIA,ITA
AVCS252023000055,20040208101417615930,MASCHIO,70,ITALIA,ITA
AVCS332024000008,20150201021318838937,MASCHIO,32,ITALIA,ITA
