PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
BSCS692024000003,20200830115231297672,FEMMINA,45,ROMANIA,ROU
BSCS722024000001,20030325164730526952,MASCHIO,44,ROMANIA,ROU
BSCS732023000056,20020201163118940160,MASCHIO,61,ITALIA,ITA
BSCS752024000029,20240623102327291920,MASCHIO,20,ITALIA,ITA
BSCS752024000050,20220405134749756473,MASCHIO,39,UCRAINA,UKR
BSCS772024000001,20120531163232543285,MASCHIO,26,SENEGAL,SEN
BSCS782023000271,20161205144253646898,MASCHIO,28,GHANA,GHA
BSEVB32024000187,20010918233149258999,MASCHIO,40,ITALIA,ITA
BSEVF62025000006,20100519181257796894,MASCHIO,20,ALBANIA,ALB
BSEVM72024000096,20221230132921019232,MASCHIO,20,EGITTO,EGY
BSEVM72024000096,20240614181341610022,MASCHIO,22,MAROCCO,MAR
BSGN412024000059,20100523232159583136,FEMMINA,27,ITALIA,ITA
BSPC012024000405,20201110122608914163,MASCHIO,19,ITALIA,ITA
BSPQ102024000181,20120622174922454814,MASCHIO,32,ITALIA,ITA
BTCC052024000013,20161208122900704178,MASCHIO,25,NIGERIA,NGA
BTCC052024000111,20180313103858934880,MASCHIO,25,NIGERIA,NGA
BTCC052024000127,19930807094309015926,MASCHIO,49,ITALIA,ITA
BTCC052024000141,20040610155708396186,MASCHIO,49,ITALIA,ITA
BTCC052024000220,20050406164533083140,MASCHIO,76,ITALIA,ITA
BTCS062025000059,19751012124734011841,MASCHIO,64,ITALIA,ITA
BTCS062025000059,20050201083321457648,FEMMINA,57,ITALIA,ITA
BTCS072024852373,20081207190937909478,MASCHIO,57,ITALIA,ITA
BTPC012024000425,20240410093918446606,MASCHIO,19,ITALIA,ITA
BTPC012024001566,,NON INDICATO,,,
BTPC012025000481,20210515130159758925,MASCHIO,26,MAROCCO,MAR
BTPC022024000151,20060217215752770187,MASCHIO,39,ITALIA,ITA
BTPC022024000151,20070329202621950950,MASCHIO,32,ITALIA,ITA
BTPC032025000069,20170911194835242572,MASCHIO,25,ITALIA,ITA
BTPC032025000196,,NON INDICATO,,,
BTPQ002024001823,19911120105108098620,MASCHIO,63,ITALIA,ITA
BTPQ002024001931,,NON INDICATO,,,
BTPQ002024002024,,NON INDICATO,,,
BTPQ102024000119,,NON INDICATO,,,
BTPQ102024000223,,NON INDICATO,,,
BTPQ102024000339,,NON INDICATO,,,
BTPQ102024100313,20061012175729793212,MASCHIO,34,ITALIA,ITA
BTPQ302022000079,20030528164254866520,MASCHIO,42,ITALIA,ITA
BTPQ302022000079,20040917171354097780,MASCHIO,73,ITALIA,ITA
BZCC012025000045,20150913180610537230,MASCHIO,21,ITALIA,ITA
BZCC042025000004,20020411135136304754,MASCHIO,39,ITALIA,ITA
BZCC142024000013,20111214135411803982,MASCHIO,30,SENEGAL,SEN
BZCS122025000013,20250405150904802307,MASCHIO,14,ITALIA,ITA
BZCS252024000025,20161219202342923317,MASCHIO,56,ITALIA,ITA
BZCS272025000002,20091228232547552041,MASCHIO,33,ROMANIA,ROU
BZCS552024000010,20201230155804150517,MASCHIO,17,ITALIA,ITA
BZCS612024000013,20100422112253675761,MASCHIO,42,ITALIA,ITA
BZCS612024000077,20031006011055150403,MASCHIO,37,ITALIA,ITA
BZCS682024000010,20210808075452314241,MASCHIO,22,ITALIA,ITA
BZCS712023000151,20070912005232960151,MASCHIO,34,ITALIA,ITA
BZCS712024000049,20210925145430366108,MASCHIO,18,BANGLADESH,BGD
BZCS712024000222,20180821141656305351,MASCHIO,21,ITALIA,ITA
BZCS742024000005,20060214081925046189,MASCHIO,40,ITALIA,ITA
BZCS852023000019,20090212145117882602,MASCHIO,53,ITALIA,ITA
BZPC042024000070,20231207162251005399,MASCHIO,48,INDIA,IND
BZPQ102023001634,,NON INDICATO,,,
BZPQ102024000420,20000114180648058404,MASCHIO,49,MAROCCO,MAR
BZPQ102024000467,20100211151753170559,MASCHIO,40,MAROCCO,MAR
BZPQ102024000621,20240705075736702077,MASCHIO,69,SENEGAL,SEN
CACS052024000031,,NON INDICATO,,,
CACS132024000025,20090428133704230096,MASCHIO,19,ITALIA,ITA
CACS142024000099,20180728073743887887,FEMMINA,30,UCRAINA,UKR
CACS172024000003,20080103082919074358,MASCHIO,50,ITALIA,ITA
CACS222024000024,20020306162649175684,MASCHIO,39,ITALIA,ITA
CACS222024850154,20070415041126049176,MASCHIO,35,ITALIA,ITA
CACS292024850061,19920328091734061075,MASCHIO,49,ITALIA,ITA
CACS532024000001,20100112225033486729,MASCHIO,73,ITALIA,ITA
CACS532024000001,20220625194416891215,MASCHIO,28,ITALIA,ITA
CACS622024000010,19980714134429046785,MASCHIO,48,ITALIA,ITA
CACS622024000017,20051114122607041368,FEMMINA,75,ITALIA,ITA
CACS672024850350,20010730092800274143,MASCHIO,43,ITALIA,ITA
CACS712025000001,,NON INDICATO,,,
CACS712025000002,20010721115627894526,MASCHIO,50,ITALIA,ITA
CACS802025000260,19970614213843089630,MASCHIO,51,ITALIA,ITA
CAPC052024000054,20070504032750009168,MASCHIO,27,ITALIA,ITA
CAPF302022000089,,NON INDICATO,,,
CAPQ122023001851,20020404141105197701,MASCHIO,46,ITALIA,ITA
CAPQ122024000349,,NON INDICATO,,,
CBCS122024000004,20240331084244352436,MASCHIO,42,ITALIA,ITA
CBCS182024850018,19980427164833043285,MASCHIO,45,ITALIA,ITA
CBCS272024850116,,NON INDICATO,,,
CBGT602024000010,19850904081539841326,MASCHIO,78,ITALIA,ITA
CBPC012024000583,20030102195314982323,MASCHIO,42,ITALIA,ITA
CECG102024000254,20160928165155153095,MASCHIO,40,NIGERIA,NGA
CECS082024000014,20041102073710199263,MASCHIO,54,ITALIA,ITA
CECS112023852280,20140312234233102229,MASCHIO,33,ITALIA,ITA
CECS402024000031,19910323083807044925,MASCHIO,56,ITALIA,ITA
CECS432024000057,20010802171535005119,MASCHIO,46,ITALIA,ITA
CECS432024000062,20030313083146117684,MASCHIO,45,ITALIA,ITA
CECS452024000052,20010604105214916108,MASCHIO,42,GERMANIA,DEU
CECS512024850033,19910417121845080565,MASCHIO,50,ITALIA,ITA
CECS512024850058,20010510230930623397,MASCHIO,40,ITALIA,ITA
CECS622024851145,,NON INDICATO,,,
CEPC032025000045,,NON INDICATO,,,
CEPC042024000326,20010616104831694191,MASCHIO,46,ITALIA,ITA
CEPC042024001144,20170505015022612246,MASCHIO,17,ITALIA,ITA
CEPC052024300014,20020411191720886761,MASCHIO,50,ITALIA,ITA
CEPC052024300143,,NON INDICATO,,,
CEPC072024000141,19971022105811081576,MASCHIO,50,ITALIA,ITA
CHCS082024000008,20010816105229472890,FEMMINA,46,ITALIA,ITA
CHCS112024851932,,NON INDICATO,,,
CHCS122024000001,,NON INDICATO,,,
CHCS122024000001,20080130111118707125,MASCHIO,38,ITALIA,ITA
CHCS152024000004,20040413113820360912,FEMMINA,48,ITALIA,ITA
CHCS152024850081,20160609194530911468,MASCHIO,26,ROMANIA,ROU
CHCS162024000009,20140325163809582036,MASCHIO,40,BANGLADESH,BGD
CHCS162024850141,20101209095732855621,FEMMINA,45,ROMANIA,ROU
CHCS232023000129,20150220161916274100,FEMMINA,24,ITALIA,ITA
CHCS232023000129,20150803155950549422,MASCHIO,29,ITALIA,ITA
CHCS232024000003,20211001044757070381,MASCHIO,20,ITALIA,ITA
CHCS382023000042,19971228104043116347,MASCHIO,51,VENEZUELA,VEN
CHCS402024000027,20181019210547946594,MASCHIO,14,ITALIA,ITA
CHCT012024000001,20020227233653559010,MASCHIO,50,ITALIA,ITA
CHCT022024000001,20100317213804526469,FEMMINA,54,ITALIA,ITA
CHPQ102024000140,20090921131839760068,MASCHIO,23,ITALIA,ITA
CHPQ102024000172,20020727030605940536,MASCHIO,35,ITALIA,ITA
CHPQ102024000172,20020727030605940536,MASCHIO,37,ITALIA,ITA
CHPQ102024000201,,NON INDICATO,,,
CHPQ102024000340,19930409155444140568,MASCHIO,52,ITALIA,ITA
CHPQ102024000340,19930409155444140568,MASCHIO,55,ITALIA,ITA
CHPQ102024000342,20070211031506073252,MASCHIO,39,ROMANIA,ROU
CHPQ102024000406,20100814161728194703,MASCHIO,48,ITALIA,ITA
CHPQ102024000546,20181031154926657025,MASCHIO,80,ITALIA,ITA
CHPQ102024000624,20100628103705103664,MASCHIO,44,ITALIA,ITA
CHPQ102024000632,20000727143906999926,MASCHIO,72,ITALIA,ITA
CHPQ102024000651,20011020120340395278,FEMMINA,40,ITALIA,ITA
CHPQ102024000843,20040918115655117484,MASCHIO,64,ITALIA,ITA
CHPQ102024000843,20040918115655117484,MASCHIO,68,ITALIA,ITA
CHPQ102024000886,19980117090222979448,MASCHIO,58,ITALIA,ITA
CHPQ102024000930,19971129085113000042,MASCHIO,46,ITALIA,ITA
CHPQ102025000028,20050422211020149321,MASCHIO,45,ITALIA,ITA
CHPQ702024000001,20040903163141864970,MASCHIO,32,ITALIA,ITA
CLCC012024000084,20020915170659001425,MASCHIO,40,ITALIA,ITA
CLCS012024000001,20040405221920510837,MASCHIO,46,ITALIA,ITA
CLCS082024000075,20011204225105961370,MASCHIO,39,ITALIA,ITA
CLCS132024000019,20041014164427733969,MASCHIO,38,ITALIA,ITA
CLCS172024000025,19910724103256060942,MASCHIO,49,ITALIA,ITA
CLPC012024001135,20011012021205000481,MASCHIO,44,ITALIA,ITA
CLPC012024001809,,NON INDICATO,,,
CLPC012024002386,19990223184642074451,MASCHIO,53,ITALIA,ITA
CLPC012024002481,19981214130530038030,MASCHIO,74,ITALIA,ITA
CLPQ102024000359,20131019103206710251,MASCHIO,28,ITALIA,ITA
CNCS042024000032,20201011111637173443,MASCHIO,53,ROMANIA,ROU
CNCS092023000059,20030708115530287535,MASCHIO,41,MACEDONIA,MKD
CNCS142024000002,20170503143350878880,MASCHIO,27,BANGLADESH,BGD
CNCS312024000002,20100801205210056332,MASCHIO,33,ALBANIA,ALB
CNCS332025000010,19981018084152889193,MASCHIO,62,MAROCCO,MAR
CNCS352025000007,20190526215616099693,MASCHIO,18,ITALIA,ITA
CNCS392024000021,20071005222359567640,MASCHIO,34,ITALIA,ITA
CNCS472024850799,20040321021219913075,MASCHIO,35,MACEDONIA,MKD
CNCS532023000050,20140307124309846835,MASCHIO,26,SENEGAL,SEN
CNCS532024000081,20020216035045261182,MASCHIO,57,ITALIA,ITA
CNCS582025000014,20170104060858302317,MASCHIO,21,ITALIA,ITA
CNCS732024000021,20210224141444807820,FEMMINA,17,ITALIA,ITA
CNCS762024000018,19990405093129059717,MASCHIO,50,ITALIA,ITA
CNPQ102024000019,20230601100725258606,MASCHIO,29,CAMERUN,CMR
CNPQ102024000095,,NON INDICATO,,,
CNPQ302025000001,20000401213140021841,MASCHIO,45,ITALIA,ITA
CNPQ302025000007,20090117151338484768,MASCHIO,26,ITALIA,ITA
COCC012024000092,20210217132608116211,MASCHIO,46,ROMANIA,ROU
COCC042023000079,20170708204417404240,MASCHIO,29,ROMANIA,ROU
COCS072024000088,20090616153347787265,MASCHIO,54,ARGENTINA,ARG
COCS202023000225,20030608140521810351,MASCHIO,34,ITALIA,ITA
COCS202023000225,20030608140521810351,FEMMINA,34,ITALIA,ITA
COCS252024000016,19890222120135676395,MASCHIO,64,ITALIA,ITA
COCS262024000025,19960517093102093097,MASCHIO,44,ITALIA,ITA
COCS262024000090,20120620124514878217,MASCHIO,44,PAKISTAN,PAK
COCS262024000138,20150111234720869451,MASCHIO,79,ITALIA,ITA
COCS262024000173,20050705133007162156,MASCHIO,60,ITALIA,ITA
COCS272024000210,20061213230321223929,MASCHIO,38,ITALIA,ITA
COCS282023000058,,NON INDICATO,,,
COCS292024000059,19980103175933913417,FEMMINA,60,ITALIA,ITA
COCS312024000042,19930816155816300886,MASCHIO,81,ITALIA,ITA
COCS312024000100,20241024173943675034,FEMMINA,18,BULGARIA,BGR
COCS312025000015,20011225142454671185,MASCHIO,38,ITALIA,ITA
COPQ102024200171,,NON INDICATO,,,
COPQ302021000087,,NON INDICATO,,,
COPQ302023000137,,NON INDICATO,,,
COPQ302024000072,,NON INDICATO,,,
COPQ302024000127,,NON INDICATO,,,
CRCP032024000005,20070713121615124187,MASCHIO,55,ITALIA,ITA
CRCS202024000041,20041010015637972569,FEMMINA,41,ITALIA,ITA
CRCS212024000126,,NON INDICATO,,,
CRCS212024000126,20181012182626376685,MASCHIO,44,UCRAINA,UKR
CRCS262024000013,20191227162037520705,MASCHIO,52,ITALIA,ITA
CRCS272024000009,20070612224617956316,MASCHIO,32,ITALIA,ITA
CRPC012024100043,20130528175136796897,MASCHIO,24,ITALIA,ITA
CRPC012024100058,20110511195713032441,MASCHIO,43,NIGERIA,NGA
CRPC012024200523,,NON INDICATO,,,
CRPC012024200742,,NON INDICATO,,,
CRPC012024200797,19970525175550086326,MASCHIO,56,ITALIA,ITA
CRPQ102024600232,20010619123724798012,MASCHIO,55,ITALIA,ITA
CRPQ102024600971,20240623164624611410,MASCHIO,49,MAROCCO,MAR
CSCC042023000036,20100416170608091153,MASCHIO,26,ITALIA,ITA
CSCS062024000010,20040506120746182136,MASCHIO,38,ITALIA,ITA
CSCS072024000015,20080726095949046508,MASCHIO,24,ITALIA,ITA
CSCS122024000011,20111007012339937668,FEMMINA,35,ITALIA,ITA
CSCS242024000005,20110623093931075889,MASCHIO,47,ITALIA,ITA
CSCS242024000030,,NON INDICATO,,,
CSCS282024000010,20181220130755120767,MASCHIO,24,NIGERIA,NGA
CSCS282024000013,19991006130016005696,MASCHIO,46,ITALIA,ITA
CSCS282024000020,20020525022731612495,MASCHIO,45,ITALIA,ITA
CSCS312024000003,20031014121653011292,MASCHIO,46,ITALIA,ITA
CSCS432024000017,20241010102049591506,MASCHIO,32,NIGERIA,NGA
CSCS452024000040,20180525225001338743,MASCHIO,45,JUGOSLAVIA (SERBIA-MONTENEGRO),SRB
CSCS472024000002,19990113093803001972,MASCHIO,64,ITALIA,ITA
CSCS482024850032,19850511191931939342,MASCHIO,78,ITALIA,ITA
CSCS492023000025,20011124105132824550,MASCHIO,42,ITALIA,ITA
CSCS492023000026,20040222183027993457,MASCHIO,61,ITALIA,ITA
CSCS502024000011,,NON INDICATO,,,
CSCS582023000072,20010824133931300703,MASCHIO,42,ITALIA,ITA
CSCS622024000059,20101013165428521887,MASCHIO,35,ITALIA,ITA
CSCS692024000001,20240218110357131497,MASCHIO,45,ROMANIA,ROU
CSCS692024000001,20240218110357146032,FEMMINA,49,ROMANIA,ROU
CSCS802024000011,20060904130544893814,MASCHIO,35,ITALIA,ITA
CSCS822024000024,20110823092915277062,MASCHIO,64,ITALIA,ITA
CSCS872024000001,19970905122909003962,MASCHIO,44,ITALIA,ITA
CSCS872024000002,20240222122835297923,MASCHIO,31,MAROCCO,MAR
CSPQ302024000010,20010921005819429030,MASCHIO,34,ITALIA,ITA
CTCC052024000080,20160729035505833823,MASCHIO,26,ITALIA,ITA
CTCC112024000148,20140716082119661250,MASCHIO,37,ROMANIA,ROU
CTCS012024850029,20210204155823481584,MASCHIO,26,TUNISIA,TUN
CTCS012024850109,20011110155442291526,MASCHIO,42,ITALIA,ITA
CTCS032024000034,19991028082719099655,MASCHIO,50,ITALIA,ITA
CTCS072024000040,20241215021700222981,MASCHIO,21,ITALIA,ITA
CTCS152024850580,20090831094013842037,MASCHIO,43,ROMANIA,ROU
CTCS192024850074,20011221222405376492,MASCHIO,49,ITALIA,ITA
CTCS192024850074,20240311162755707648,MASCHIO,49,ITALIA,ITA
CTCS202024850343,,NON INDICATO,,,
CTCS242024000065,,NON INDICATO,,,
CTCS372024000000,20010917112529161607,MASCHIO,47,ITALIA,ITA
CTCS382024000004,20230807194442508723,MASCHIO,15,ITALIA,ITA
CTCS382024000005,20121104021245468247,MASCHIO,26,ITALIA,ITA
CTCS382024000042,20160512162832454530,MASCHIO,27,NIGERIA,NGA
CTCS382024000064,20041210092112219494,MASCHIO,38,ITALIA,ITA
CTCS392024000045,20110520175041642628,MASCHIO,51,ITALIA,ITA
CTCS402024850437,,NON INDICATO,,,
CTCS422023000106,,NON INDICATO,,,
CTCS422024000087,19901108131747339342,MASCHIO,57,ITALIA,ITA
CTCS472024000034,20010921074706563876,MASCHIO,45,ITALIA,ITA
CTCS492024000053,20110320100444589718,MASCHIO,47,ITALIA,ITA
CTCS492024000078,19980606080318023200,MASCHIO,46,ITALIA,ITA
CTCS492024000115,20031016093035785016,MASCHIO,41,GERMANIA,DEU
CTCS612024000001,20071208215517335740,MASCHIO,33,ITALIA,ITA
CTCS612024000002,20080216020250754413,MASCHIO,31,ITALIA,ITA
CTCS612024000071,20020302182439135018,MASCHIO,43,ITALIA,ITA
CTCS612024850416,,NON INDICATO,,,
CTCS612024850440,20130507105940864023,MASCHIO,34,ITALIA,ITA
CTCS612024851441,,NON INDICATO,,,
CTCS612024852172,,NON INDICATO,,,
CTCS642024000095,,NON INDICATO,,,
CTCS642025000024,,NON INDICATO,,,
CTCS652024000019,19980507192112030789,MASCHIO,43,ITALIA,ITA
CTCS652024850636,20040715233213063725,MASCHIO,36,ITALIA,ITA
CTCS652025850501,20011031165146440820,MASCHIO,34,ITALIA,ITA
CTPC012025500108,,NON INDICATO,,,
CTPC022023001023,20020104214448972864,MASCHIO,42,ITALIA,ITA
CTPC022024000065,20211207153848714632,MASCHIO,62,ITALIA,ITA
CTPC022024000147,20050724005230150137,MASCHIO,36,ITALIA,ITA
CTPC032024010037,20090804193603546326,MASCHIO,46,ITALIA,ITA
CTPC032024200004,20020528210505147878,MASCHIO,44,ITALIA,ITA
CTPC032024200017,,NON INDICATO,,,
CTPC042024000427,,NON INDICATO,,,
CTPC042025000066,20071225165103722211,MASCHIO,33,ITALIA,ITA
CTPC062024700208,20130723160425495064,MASCHIO,59,INDIA,IND
CTPC062024700208,20180313091917273778,MASCHIO,23,INDIA,IND
CTPC062024700208,20190410125457859354,FEMMINA,51,INDIA,IND
CTPC062024700212,20150102112645839814,MASCHIO,56,ITALIA,ITA
CTPC092024200023,20240101155145261810,MASCHIO,21,ROMANIA,ROU
CTPC092024200244,20110818104259768581,MASCHIO,26,ITALIA,ITA
CTPC092024200424,,NON INDICATO,,,
CTPC092024200762,20240701154320748105,MASCHIO,20,ITALIA,ITA
CTPQ102023073463,,NON INDICATO,,,
CTPQ102024002252,,NON INDICATO,,,
CTPQ102024002257,,NON INDICATO,,,
CTPQ102024074201,,NON INDICATO,,,
CTPQ102025011499,,NON INDICATO,,,
CZCS122024240224,20230822113702257337,MASCHIO,37,UCRAINA,UKR
CZCS282023000057,,NON INDICATO,,,
CZCS422025850026,19931104130324612791,MASCHIO,54,ITALIA,ITA
CZCS452024000009,20071106220704854094,MASCHIO,36,ITALIA,ITA
CZCS502024000002,20150411161640390482,MASCHIO,33,ITALIA,ITA
CZCS502024000012,20030210133253783584,MASCHIO,57,ITALIA,ITA
CZPC022023001395,20040524102730212128,FEMMINA,42,ITALIA,ITA
CZPC022024000269,20010827232228169920,FEMMINA,44,ITALIA,ITA
CZPQ102024000151,,NON INDICATO,,,
ENCC012024000024,20210729133110713497,MASCHIO,20,ITALIA,ITA
ENCS052024000015,20180724182041991525,MASCHIO,31,NIGERIA,NGA
ENCS052024000016,20150907200259696853,MASCHIO,29,ITALIA,ITA
ENCS052024000030,19970531113735042800,MASCHIO,43,ITALIA,ITA
ENCS052024000030,20050707091843359787,FEMMINA,40,ITALIA,ITA
ENCS202024000010,20021123114933707149,MASCHIO,64,ITALIA,ITA
ENPC032024000136,20080314160658730803,MASCHIO,37,GERMANIA,DEU
ENPQ102024000072,20240219181637100860,MASCHIO,86,ITALIA,ITA
ENPQ302024200022,19991112103511009953,MASCHIO,46,ITALIA,ITA
FECC022024000046,20110619093706508458,MASCHIO,34,GHANA,GHA
FECS052024000039,20101227101026607272,MASCHIO,30,INDIA,IND
FECS122023000100,20220125210330067367,MASCHIO,30,MAROCCO,MAR
FECS122024000004,20030521194042433462,MASCHIO,33,ITALIA,ITA
FECS142024100006,,NON INDICATO,,,
FECS152024000021,20110922104546508486,MASCHIO,48,NIGERIA,NGA
FECS242024000048,20071205162140835840,MASCHIO,33,TURCHIA,TUR
FECS242024851307,20000105084602088888,MASCHIO,46,ITALIA,ITA
FECS382024000002,20170111134155996681,MASCHIO,23,SENEGAL,SEN
FECS392024000019,20130806125328454942,MASCHIO,31,NIGERIA,NGA
FECS402024000031,20131101003215310551,MASCHIO,26,ITALIA,ITA
FGCS242025000006,20100520195729598301,MASCHIO,35,ITALIA,ITA
FGCS472024851450,,NON INDICATO,,,
FGCS582024900001,20040613004821050833,MASCHIO,45,ITALIA,ITA
FGCS602024000005,20010625130858466540,MASCHIO,44,ITALIA,ITA
FGPQ102023001263,20020114171304821193,MASCHIO,37,ITALIA,ITA
FGPQ102023001271,20030201175152588052,MASCHIO,38,ITALIA,ITA
FGPQ102023001274,20020729192511290075,MASCHIO,39,ITALIA,ITA
FGPQ102023001278,20020504030329008058,MASCHIO,51,ITALIA,ITA
FGPQ102023001281,,NON INDICATO,,,
FGPQ102023001325,20060916014302890619,MASCHIO,30,ITALIA,ITA
FGPQ102023001347,20040201003543642910,MASCHIO,37,ITALIA,ITA
FGPQ102024000004,20220403221610902077,FEMMINA,18,ITALIA,ITA
FGPQ102024000005,20020606104527061096,MASCHIO,37,MACEDONIA,MKD
FGPQ102024000008,20020729192511290075,MASCHIO,39,ITALIA,ITA
FGPQ102024000009,20061102193723624455,MASCHIO,31,ITALIA,ITA
FGPQ102024000019,20240108081912721693,MASCHIO,30,SUDAN,SDN
FGPQ102024000024,20170822123201877532,FEMMINA,52,ITALIA,ITA
FGPQ102024000027,20050927131339929936,MASCHIO,36,ITALIA,ITA
FGPQ102024000041,20181107093826491316,MASCHIO,38,ALGERIA,DZA
FGPQ102024000048,20110609000749123625,MASCHIO,41,ITALIA,ITA
FGPQ102024000051,20110509184918340362,MASCHIO,26,ITALIA,ITA
FGPQ102024000062,20110609000749123625,MASCHIO,41,ITALIA,ITA
FGPQ102024000072,20020114171304821193,MASCHIO,38,ITALIA,ITA
FGPQ102024000083,20011109113350055865,MASCHIO,40,ITALIA,ITA
FGPQ102024000088,20120513034150048235,MASCHIO,26,ITALIA,ITA
FGPQ102024000088,20160608152554869406,MASCHIO,23,ITALIA,ITA
FGPQ102024000088,20170516151813306041,FEMMINA,53,ITALIA,ITA
FGPQ102024000103,19980414174848095416,MASCHIO,48,ITALIA,ITA
FGPQ102024000111,20180703020713549541,MASCHIO,30,ROMANIA,ROU
FGPQ102024000118,20020806022507419498,MASCHIO,37,ITALIA,ITA
FGPQ102024000119,20041025002714836586,MASCHIO,54,ITALIA,ITA
FGPQ102024000133,20120224225139615310,MASCHIO,28,ITALIA,ITA
FGPQ102024000169,20010709122412971743,FEMMINA,53,ALBANIA,ALB
FGPQ102024000546,20020106022456094611,MASCHIO,55,ITALIA,ITA
FGPQ102024000583,20150917172726540321,MASCHIO,30,GAMBIA,GMB
FGPQ102024000720,20030201175152588052,MASCHIO,38,ITALIA,ITA
FGPQ102024000904,,NON INDICATO,,,
FGPQ102024001007,20040210220352983223,MASCHIO,38,ITALIA,ITA
FGPQ102024001099,20150903103509246720,MASCHIO,24,ITALIA,ITA
FGPQ102024001241,20020729192511290075,MASCHIO,40,ITALIA,ITA
FGPQ102024501616,,NON INDICATO,,,
FGPQ102024503356,20170303202418587989,MASCHIO,25,ITALIA,ITA
FGPQ102024503356,20190326103257743888,MASCHIO,19,ITALIA,ITA
FGPQ302024000263,20070914093205953154,MASCHIO,30,ITALIA,ITA
FICC032024000026,19960202133825029545,FEMMINA,49,ITALIA,ITA
FICS122024000010,19970704154012039571,FEMMINA,51,ITALIA,ITA
FICS152023000084,20190205134301969730,MASCHIO,43,ROMANIA,ROU
FICS152024000002,20020225181624922418,MASCHIO,49,ITALIA,ITA
FICS202024000024,20120716171821803238,FEMMINA,55,ITALIA,ITA
FICS292024000025,20080903233006046441,MASCHIO,42,PERU',PER
FICS292024000032,20180308160937570528,MASCHIO,52,COLOMBIA,COL
FICS292024855871,20080311090303174990,FEMMINA,43,HONDURAS,HND
FICS292024855871,20111104083404818878,FEMMINA,26,HONDURAS,HND
FICS292024855871,20160719123549235319,MASCHIO,24,HONDURAS,HND
FICS302024000064,20191113120405547228,MASCHIO,40,MOLDAVIA,MDA
FICS302024000095,20151006125856144735,MASCHIO,41,EL SALVADOR,SLV
FICS322024852520,,NON INDICATO,,,
FICS382025000052,20150920212645657995,FEMMINA,21,MAROCCO,MAR
FICS442024000044,20030219115500338531,MASCHIO,50,ALBANIA,ALB
FICS492024000017,20020310112314739511,MASCHIO,42,ITALIA,ITA
FICS542024000004,20040903082244038566,MASCHIO,28,BRASILE,BRA
FICS572024000038,20220929122955128233,MASCHIO,49,ECUADOR,ECU
FICS612023000145,20040420094258012976,MASCHIO,46,ITALIA,ITA
FICS622025000006,20180623131115663005,MASCHIO,49,MAROCCO,MAR
FICS632024000042,20150701125731518057,MASCHIO,27,GAMBIA,GMB
FICS632024856992,,NON INDICATO,,,
FIGN522024000066,20231203041303029654,MASCHIO,30,PERU',PER
FIPC062024000031,20020726024301777200,MASCHIO,46,ITALIA,ITA
FIPC062024000845,20241025100908192270,MASCHIO,22,AFGHANISTAN,AFG
FIPQ102024000295,20040720144322920469,MASCHIO,36,ITALIA,ITA
FMCS082024000062,19980624110539020627,MASCHIO,52,ZAIRE,COD
FMCS082024000083,19990615120352025600,MASCHIO,53,INDIA,IND
FMPQ102024000642,,NON INDICATO,,,
FOCS012024000089,20151111101129990043,MASCHIO,68,ITALIA,ITA
FOCS152024000029,20100709090906911308,FEMMINA,56,ITALIA,ITA
FOCS162024850310,20010702120940779735,MASCHIO,44,ITALIA,ITA
FOCS302024000165,20210802103907439433,MASCHIO,32,ROMANIA,ROU
FOCS302024000176,20141207213434415950,MASCHIO,27,ITALIA,ITA
FOCS312024000233,20050208132102831483,MASCHIO,31,MAROCCO,MAR
FOCS342024000020,20030115201921233757,MASCHIO,48,ITALIA,ITA
FOPC012025020040,,NON INDICATO,,,
FOPQ302024000069,20110422094959465259,MASCHIO,23,ITALIA,ITA
FOPQ302024000078,,NON INDICATO,,,
FOPQ302024000079,,NON INDICATO,,,
FRCS052024850082,20101004115515248786,MASCHIO,30,ITALIA,ITA
FRCS092024000013,19990325104024099754,MASCHIO,50,ITALIA,ITA
FRCS102024000039,20160805091731701885,MASCHIO,25,ITALIA,ITA
FRCS102025000003,19851104112353002631,MASCHIO,67,ITALIA,ITA
FRCS282023000019,20011125125505880200,MASCHIO,70,ITALIA,ITA
FRCS332024000022,20061031171839857608,MASCHIO,56,ITALIA,ITA
FRCS372024000005,20160726234928856605,MASCHIO,24,MAROCCO,MAR
FRCS512024000030,,NON INDICATO,,,
FRCS542024851424,20020730231256351358,MASCHIO,47,ITALIA,ITA
FRPC012024200055,20051217203332437852,MASCHIO,36,ITALIA,ITA
FRPC012024200143,20110610164834130550,MASCHIO,32,ITALIA,ITA
FRPC012024200162,20090412115839478613,MASCHIO,29,ITALIA,ITA
FRPC012024200170,20070815144824885252,MASCHIO,30,ITALIA,ITA
FRPC012024200171,20020506110949869876,MASCHIO,39,ITALIA,ITA
FRPC012024200188,20051217203332437852,MASCHIO,36,ITALIA,ITA
FRPC012024200196,20071103074128478578,MASCHIO,18,ITALIA,ITA
FRPC012024200253,20030324102430581513,FEMMINA,47,ITALIA,ITA
FRPC012024200261,20140115023439344294,MASCHIO,25,ITALIA,ITA
FRPC012024200262,20020917113909623275,MASCHIO,45,ITALIA,ITA
FRPC012024200264,20100623110414100348,FEMMINA,34,ITALIA,ITA
