"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","205371","0","0","0","0","0","0","205371","195255","0","0","0","0","0","0","195255","400626"
"1","209824","0","0","0","0","0","0","209824","197810","0","0","0","0","0","0","197810","407634"
"2","217987","0","0","0","0","0","0","217987","207196","0","0","0","0","0","0","207196","425183"
"3","228694","0","0","0","0","0","0","228694","215944","0","0","0","0","0","0","215944","444638"
"4","239183","0","0","0","0","0","0","239183","225570","0","0","0","0","0","0","225570","464753"
"5","245640","0","0","0","0","0","0","245640","233044","0","0","0","0","0","0","233044","478684"
"6","252296","0","0","0","0","0","0","252296","238523","0","0","0","0","0","0","238523","490819"
"7","260055","0","0","0","0","0","0","260055","245536","0","0","0","0","0","0","245536","505591"
"8","263845","0","0","0","0","0","0","263845","249119","0","0","0","0","0","0","249119","512964"
"9","275299","0","0","0","0","0","0","275299","259960","0","0","0","0","0","0","259960","535259"
"10","280091","0","0","0","0","0","0","280091","264218","0","0","0","0","0","0","264218","544309"
"11","288645","0","0","0","0","0","0","288645","271368","0","0","0","0","0","0","271368","560013"
"12","292919","0","0","0","0","0","0","292919","275957","0","0","0","0","0","0","275957","568876"
"13","295957","0","0","0","0","0","0","295957","279801","0","0","0","0","0","0","279801","575758"
"14","296180","0","0","0","0","0","0","296180","278508","0","0","0","0","0","0","278508","574688"
"15","297220","0","0","0","0","0","0","297220","278674","0","0","0","0","0","0","278674","575894"
"16","295953","4","3","3","0","0","0","295963","276827","13","4","1","0","0","0","276845","572808"
"17","299464","10","4","0","0","0","0","299478","280915","19","5","0","0","0","0","280939","580417"
"18","295135","13","8","1","1","0","0","295158","274391","155","4","0","0","0","0","274550","569708"
"19","294146","64","5","2","1","0","0","294218","272368","693","10","0","1","0","0","273072","567290"
"20","299273","199","9","1","1","0","0","299483","274204","1935","10","1","3","0","0","276153","575636"
"21","307424","543","16","4","7","1","0","307995","276324","4142","30","2","9","1","0","280508","588503"
"22","305282","1247","29","14","13","0","0","306585","270239","6583","72","13","14","2","0","276923","583508"
"23","308492","2314","38","6","20","1","0","310871","267351","10421","103","14","13","2","0","277904","588775"
"24","303471","3891","43","11","31","2","1","307450","263969","15306","146","9","37","2","0","279469","586919"
"25","300427","6635","95","12","54","3","0","307226","259105","21872","265","31","42","7","0","281322","588548"
"26","293971","10628","134","10","73","1","1","304818","250444","30672","408","39","59","7","0","281629","586447"
"27","289845","15887","209","14","96","5","0","306056","244087","41887","616","70","74","10","0","286744","592800"
"28","285712","23620","291","25","126","7","0","309781","237122","55620","941","87","131","8","0","293909","603690"
"29","287845","34217","486","25","159","5","0","322737","232200","73337","1286","144","142","14","0","307123","629860"
"30","272815","46730","697","39","176","5","0","320462","215651","90082","1730","171","161","10","0","307805","628267"
"31","264754","61327","1011","42","235","15","1","327385","203222","107894","2421","249","203","13","1","314003","641388"
"32","246961","75890","1336","57","247","9","1","324501","187092","125017","3219","336","231","21","0","315916","640417"
"33","237931","93030","1802","88","292","10","1","333154","174531","144308","4093","461","303","13","0","323709","656863"
"34","217131","106158","2217","80","322","15","0","325923","157697","155369","4829","555","323","18","0","318791","644714"
"35","203123","120799","2784","132","360","14","2","327214","146134","167891","6102","685","266","16","2","321096","648310"
"36","196261","136091","3666","128","372","8","0","336526","140652","182927","7435","849","327","15","1","332206","668732"
"37","186911","151339","4410","205","310","7","1","343183","133526","195409","8728","1002","307","19","1","338992","682175"
"38","178762","164875","5257","240","399","13","2","349548","127056","206481","10056","1206","296","10","0","345105","694653"
"39","173773","180280","6314","262","372","16","1","361018","123469","220884","11660","1623","329","18","1","357984","719002"
"40","164860","189297","7331","353","381","16","3","362241","117541","228230","13268","1865","292","11","0","361207","723448"
"41","160609","203081","8437","413","373","13","2","372928","112709","238639","15153","2225","274","15","1","369016","741944"
"42","156773","214669","9994","542","446","15","2","382441","110663","251838","17177","2663","290","13","0","382644","765085"
"43","159084","231038","11817","691","401","9","5","403045","111746","267270","19967","3249","275","13","0","402520","805565"
"44","156311","243747","13520","771","488","15","3","414855","110088","280649","22331","3796","312","10","1","417187","832042"
"45","155741","259813","15749","943","445","10","5","432706","109532","295995","24870","4549","268","14","1","435229","867935"
"46","155541","277360","18096","1242","548","8","5","452800","109168","313230","28325","5300","317","7","0","456347","909147"
"47","154180","294015","20357","1425","574","11","5","470567","107940","329109","30840","6431","307","10","4","474641","945208"
"48","143787","298394","22096","1635","511","9","3","466435","102125","330689","32791","7154","307","9","0","473075","939510"
"49","137360","307640","23867","1965","511","9","3","471355","96538","336705","34954","8250","263","5","0","476715","948070"
"50","129464","315618","25802","2207","536","12","7","473646","91997","344380","36983","9551","248","10","2","483171","956817"
"51","119867","319546","26811","2530","530","7","9","469300","85924","343127","38345","10759","243","8","1","478407","947707"
"52","114549","333083","29489","2891","517","6","5","480540","83560","355219","40007","12545","217","5","0","491553","972093"
"53","106752","335624","29524","3323","539","10","3","475775","78708","354058","40575","14386","214","10","1","487952","963727"
"54","100139","340441","31149","3752","505","5","9","476000","75482","357585","41455","16152","211","4","4","490893","966893"
"55","95093","348712","32196","4523","540","4","1","481069","71921","361649","41901","18156","176","4","1","493808","974877"
"56","87493","352554","33152","4922","533","5","3","478662","68346","361510","42093","20629","183","4","3","492768","971430"
"57","82065","361286","33792","5672","477","2","6","483300","65124","367357","42871","23795","170","4","4","499325","982625"
"58","70857","340817","31615","6035","470","6","9","449809","58099","347340","39518","25052","163","2","2","470176","919985"
"59","63362","331427","30134","6445","422","5","6","431801","53395","335786","36991","28114","125","3","3","454417","886218"
"60","58253","326403","28645","6887","408","1","8","420605","49966","328665","35731","30957","126","2","3","445450","866055"
"61","52214","318780","26935","7532","357","3","6","405827","46070","316724","33826","34083","120","3","2","430828","836655"
"62","47997","311838","25455","8235","319","3","8","393855","43203","307458","31422","37128","100","2","2","419315","813170"
"63","43304","297575","23171","8767","318","4","5","373144","39171","292552","29201","39854","88","1","6","400873","774017"
"64","40188","294835","22322","9458","278","2","3","367086","37159","287739","27603","43694","104","1","1","396301","763387"
"65","36574","289926","20539","10386","237","2","10","357674","34290","279558","25724","47857","72","0","2","387503","745177"
"66","33742","284200","18999","11133","222","6","3","348305","32338","271962","23955","51639","61","2","3","379960","728265"
"67","31051","278626","17622","12277","199","1","4","339780","30198","263823","22544","56727","55","4","3","373354","713134"
"68","28198","266114","15845","12975","169","0","6","323307","27849","247068","20572","59036","44","0","1","354570","677877"
"69","26376","259009","14691","13889","175","2","4","314146","26546","239483","19075","63682","53","1","3","348843","662989"
"70","24785","256584","13456","15009","155","1","9","309999","24777","233845","17945","69892","48","1","3","346511","656510"
"71","23948","263533","13020","17048","146","3","6","317704","24995","235776","17644","78863","46","1","3","357328","675032"
"72","22319","262177","12054","18717","138","1","10","315416","23992","229549","16278","87292","29","0","0","357140","672556"
"73","22197","268236","11356","21381","139","0","4","323313","24341","231244","15904","99576","37","1","1","371104","694417"
"74","20281","257272","10445","22730","119","2","4","310853","22995","215240","14725","106566","23","0","2","359551","670404"
"75","19070","249673","9481","24952","110","1","4","303291","21997","205661","13885","115381","23","0","1","356948","660239"
"76","13825","186252","6724","20739","76","0","0","227616","17412","148813","9840","96814","15","0","0","272894","500510"
"77","13859","185095","6238","22504","67","0","4","227767","17447","143722","9251","107618","16","0","2","278056","505823"
"78","13145","178224","5439","24149","66","1","1","221025","17600","136209","8664","115592","10","0","0","278075","499100"
"79","12793","168688","5036","25399","74","0","4","211994","17191","124625","8062","121958","14","0","1","271851","483845"
"80","12318","161027","4496","27016","64","0","2","204923","17182","114552","7286","130059","8","0","3","269090","474013"
"81","12554","166639","4325","31431","41","0","4","214994","18266","112729","7108","151276","10","1","1","289391","504385"
"82","11285","154053","3560","32230","31","0","4","201163","17501","98720","6097","153940","8","0","2","276268","477431"
"83","9758","137101","3090","32200","24","0","1","182174","16508","83057","5385","154594","2","0","0","259546","441720"
"84","8265","114710","2421","30716","22","1","1","156136","14988","64938","4339","145970","3","0","0","230238","386374"
"85","6862","95023","1841","28891","15","0","0","132632","13657","50804","3641","137969","3","0","0","206074","338706"
"86","6293","85406","1623","29045","14","0","2","122383","13240","42210","3132","139276","0","1","1","197860","320243"
"87","5389","70419","1248","27577","19","0","1","104653","12266","32338","2583","131553","3","0","0","178743","283396"
"88","4377","57538","956","25291","13","0","0","88175","11236","24303","2191","120929","0","0","1","158660","246835"
"89","3532","45092","711","22802","4","1","0","72142","10115","17893","1759","110162","0","0","1","139930","212072"
"90","2856","36249","508","20740","7","0","1","60361","9222","13174","1447","99541","2","0","0","123386","183747"
"91","2419","28380","436","18778","8","0","3","50024","8579","9643","1294","91957","0","0","0","111473","161497"
"92","1700","19441","274","14682","1","0","0","36098","6872","5984","922","72773","1","0","0","86552","122650"
"93","1270","13450","204","11801","2","0","0","26727","5766","4100","695","59649","3","0","0","70213","96940"
"94","915","9204","139","9464","1","0","0","19723","4690","2588","536","47968","0","0","0","55782","75505"
"95","623","5673","87","7090","0","0","0","13473","3605","1597","399","36981","0","0","0","42582","56055"
"96","423","3527","59","5074","0","0","0","9083","2786","1026","287","27620","0","0","0","31719","40802"
"97","314","2071","39","3770","1","0","1","6196","2118","667","214","19976","0","0","0","22975","29171"
"98","209","1311","24","2573","0","0","0","4117","1491","466","127","14327","0","0","0","16411","20528"
"99","136","734","12","1689","0","0","0","2571","1006","275","98","9792","0","0","0","11171","13742"
"100 e oltre","232","847","21","2187","0","0","0","3287","1674","396","130","14227","0","0","0","16427","19714"
"Totale","13683804","13544888","819339","752895","17453","349","228","28818956","11797970","13680458","1156109","3566917","9253","388","82","30211177","59030133"
