"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"91","2267","27878","401","18301","7","0","1","48855","7786","9418","1234","86479","1","0","1","104919","153774"
"92","1878","21052","344","16050","6","0","2","39332","7041","6739","1075","77977","0","0","0","92832","132164"
"93","1278","13849","208","12129","0","0","0","27464","5560","4041","733","59922","1","0","0","70257","97721"
"94","924","9186","157","9305","2","0","0","19574","4504","2678","543","47293","1","0","1","55020","74594"
"95","641","6013","92","7205","1","0","0","13952","3476","1661","416","36946","1","0","0","42500","56452"
"96","428","3484","50","5218","0","0","0","9180","2629","990","283","27550","0","0","0","31452","40632"
"97","282","2055","36","3506","0","0","0","5879","2015","615","211","19700","0","0","0","22541","28420"
"98","196","1205","29","2569","1","0","0","4000","1478","399","141","13818","0","0","0","15836","19836"
"99","140","737","16","1635","0","0","0","2528","998","283","85","9509","0","0","0","10875","13403"
"100 e oltre","266","906","24","2258","0","0","0","3454","1675","466","145","14705","0","0","0","16991","20445"
"Totale","13808498","13345550","866244","772704","20999","519","318","28814832","11878370","13474195","1221064","3596349","11734","548","109","30182369","58997201"
