"Popolazione residente per età, sesso e stato civile al 1° gennaio 2022"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";0;4192;0;0;0;0;0;0;4192;4069;0;0;0;0;0;0;4069;8261
"13";"Abruzzo";1;4287;0;0;0;0;0;0;4287;4041;0;0;0;0;0;0;4041;8328
"13";"Abruzzo";2;4392;0;0;0;0;0;0;4392;4227;0;0;0;0;0;0;4227;8619
"13";"Abruzzo";3;4580;0;0;0;0;0;0;4580;4390;0;0;0;0;0;0;4390;8970
"13";"Abruzzo";4;4972;0;0;0;0;0;0;4972;4654;0;0;0;0;0;0;4654;9626
"13";"Abruzzo";5;5197;0;0;0;0;0;0;5197;4893;0;0;0;0;0;0;4893;10090
"13";"Abruzzo";6;5301;0;0;0;0;0;0;5301;4972;0;0;0;0;0;0;4972;10273
"13";"Abruzzo";7;5340;0;0;0;0;0;0;5340;5063;0;0;0;0;0;0;5063;10403
"13";"Abruzzo";8;5440;0;0;0;0;0;0;5440;5127;0;0;0;0;0;0;5127;10567
"13";"Abruzzo";9;5670;0;0;0;0;0;0;5670;5442;0;0;0;0;0;0;5442;11112
"13";"Abruzzo";10;5879;0;0;0;0;0;0;5879;5379;0;0;0;0;0;0;5379;11258
"13";"Abruzzo";11;5942;0;0;0;0;0;0;5942;5626;0;0;0;0;0;0;5626;11568
"13";"Abruzzo";12;5891;0;0;0;0;0;0;5891;5518;0;0;0;0;0;0;5518;11409
"13";"Abruzzo";13;6074;0;0;0;0;0;0;6074;5738;0;0;0;0;0;0;5738;11812
"13";"Abruzzo";14;5935;0;0;0;0;0;0;5935;5685;0;0;0;0;0;0;5685;11620
"13";"Abruzzo";15;5926;0;0;0;0;0;0;5926;5558;0;0;0;0;0;0;5558;11484
"13";"Abruzzo";16;5922;0;0;0;0;0;0;5922;5702;1;0;0;0;0;0;5703;11625
"13";"Abruzzo";17;6148;0;0;0;0;0;0;6148;5593;1;0;0;0;0;0;5594;11742
"13";"Abruzzo";18;6045;1;0;0;0;0;0;6046;5551;4;0;0;0;0;0;5555;11601
"13";"Abruzzo";19;6004;1;0;0;0;0;0;6005;5442;5;1;0;0;0;0;5448;11453
"13";"Abruzzo";20;6091;4;1;0;0;0;0;6096;5678;32;0;0;0;0;0;5710;11806
"13";"Abruzzo";21;6372;11;0;0;0;0;0;6383;5588;75;1;0;0;0;0;5664;12047
"13";"Abruzzo";22;6271;27;0;6;0;0;0;6304;5562;120;2;0;0;0;0;5684;11988
