"Popolazione residente per età, sesso e stato civile al 1° gennaio 2022"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";23;6387;43;0;0;0;0;0;6430;5689;200;0;0;1;1;0;5891;12321
"13";"Abruzzo";24;6353;71;2;4;0;0;0;6430;5508;256;1;0;0;0;0;5765;12195
"13";"Abruzzo";25;6303;111;0;1;0;0;0;6415;5657;352;5;1;2;1;0;6018;12433
"13";"Abruzzo";26;6276;186;3;3;0;0;0;6468;5374;479;5;0;3;0;0;5861;12329
"13";"Abruzzo";27;6273;255;2;4;3;0;0;6537;5390;765;10;1;0;1;0;6167;12704
"13";"Abruzzo";28;6350;373;3;5;0;0;0;6731;5276;971;15;3;2;0;0;6267;12998
"13";"Abruzzo";29;6369;579;4;2;2;0;0;6956;5180;1306;16;1;0;0;0;6503;13459
"13";"Abruzzo";30;6098;781;11;6;4;0;0;6900;4856;1654;29;2;1;1;0;6543;13443
"13";"Abruzzo";31;5939;1074;14;6;0;0;0;7033;4617;2012;42;8;4;0;0;6683;13716
"13";"Abruzzo";32;5658;1404;17;3;6;0;0;7088;4177;2369;61;9;4;0;0;6620;13708
"13";"Abruzzo";33;5392;1726;39;5;3;0;0;7165;3974;2806;69;6;4;0;0;6859;14024
"13";"Abruzzo";34;4884;2048;32;5;3;0;0;6972;3591;3156;93;7;2;0;0;6849;13821
"13";"Abruzzo";35;4730;2453;46;6;4;0;0;7239;3416;3520;113;13;4;0;0;7066;14305
"13";"Abruzzo";36;4592;2812;69;3;3;0;0;7479;3337;3783;162;16;5;1;0;7304;14783
"13";"Abruzzo";37;4332;3198;102;7;6;0;0;7645;3049;4117;196;19;3;1;0;7385;15030
"13";"Abruzzo";38;4131;3379;108;9;3;0;0;7630;2780;4371;197;21;3;0;0;7372;15002
"13";"Abruzzo";39;3963;3741;156;8;4;1;0;7873;2797;4827;233;36;2;0;0;7895;15768
"13";"Abruzzo";40;3811;3964;147;9;9;0;0;7940;2511;4956;264;47;3;0;0;7781;15721
"13";"Abruzzo";41;3699;4354;163;8;4;0;1;8229;2448;5107;334;55;3;0;0;7947;16176
"13";"Abruzzo";42;3560;4721;209;14;5;0;0;8509;2299;5600;364;67;7;0;0;8337;16846
"13";"Abruzzo";43;3488;5135;248;10;6;0;0;8887;2181;5978;410;57;2;0;0;8628;17515
"13";"Abruzzo";44;3461;5191;250;20;7;0;0;8929;2124;6090;419;81;7;0;0;8721;17650
"13";"Abruzzo";45;3324;5604;339;16;4;0;0;9287;2122;6458;481;98;2;0;0;9161;18448
"13";"Abruzzo";46;3156;5823;342;31;6;0;0;9358;2120;6814;563;117;1;0;0;9615;18973
"13";"Abruzzo";47;3167;6365;383;32;5;0;0;9952;1920;7158;605;158;7;0;0;9848;19800
"13";"Abruzzo";48;2841;6323;456;38;5;0;0;9663;1788;7318;627;146;4;0;0;9883;19546
"13";"Abruzzo";49;2727;6746;452;41;4;0;0;9970;1768;7527;658;180;3;0;0;10136;20106
"13";"Abruzzo";50;2600;6864;494;30;4;0;0;9992;1760;7804;693;213;2;0;0;10472;20464
"13";"Abruzzo";51;2450;6896;482;48;7;0;0;9883;1483;7767;698;252;2;0;0;10202;20085
"13";"Abruzzo";52;2341;7446;554;61;5;0;0;10407;1552;7945;798;283;2;0;0;10580;20987
"13";"Abruzzo";53;2165;7459;560;80;3;0;0;10267;1395;7961;766;319;2;0;0;10443;20710
"13";"Abruzzo";54;1948;7603;588;69;7;0;0;10215;1354;8249;755;339;4;0;0;10701;20916
"13";"Abruzzo";55;1856;7859;589;101;9;0;0;10414;1234;8307;751;451;1;0;0;10744;21158
"13";"Abruzzo";56;1707;7913;654;124;7;1;0;10406;1125;8436;718;487;3;0;0;10769;21175
"13";"Abruzzo";57;1669;8151;593;125;5;0;0;10543;1081;8302;787;523;1;0;0;10694;21237
"13";"Abruzzo";58;1409;7680;580;127;4;0;0;9800;997;7915;708;594;1;0;0;10215;20015
"13";"Abruzzo";59;1296;7381;579;136;6;0;0;9398;895;7663;620;662;1;0;0;9841;19239
"13";"Abruzzo";60;1153;7148;565;144;2;0;0;9012;911;7595;615;714;1;0;0;9836;18848
"13";"Abruzzo";61;1064;7226;493;152;5;0;0;8940;841;7373;624;786;3;0;0;9627;18567
"13";"Abruzzo";62;977;7138;456;192;4;0;0;8767;747;7304;552;865;3;0;0;9471;18238
"13";"Abruzzo";63;951;6866;429;185;0;0;0;8431;724;6900;509;904;1;0;0;9038;17469
"13";"Abruzzo";64;840;6860;401;220;2;0;0;8323;693;6777;462;988;0;0;0;8920;17243
"13";"Abruzzo";65;720;6920;429;204;2;0;0;8275;590;6490;407;1156;0;0;0;8643;16918
"13";"Abruzzo";66;746;6701;363;247;1;0;0;8058;596;6535;433;1239;0;0;0;8803;16861
"13";"Abruzzo";67;683;6619;330;262;2;0;0;7896;539;6266;375;1407;1;1;0;8589;16485
"13";"Abruzzo";68;578;6250;330;226;2;0;0;7386;502;5773;358;1411;1;0;0;8045;15431
"13";"Abruzzo";69;583;6153;283;302;1;0;0;7322;481;5542;350;1630;1;0;0;8004;15326
"13";"Abruzzo";70;482;6066;256;310;0;0;0;7114;429;5620;324;1745;0;0;0;8118;15232
"13";"Abruzzo";71;460;6398;251;353;1;0;0;7463;442;5558;275;1876;1;0;0;8152;15615
"13";"Abruzzo";72;494;6357;223;388;1;0;0;7463;433;5482;252;2152;0;0;0;8319;15782
"13";"Abruzzo";73;471;6357;192;394;1;0;0;7415;451;5329;240;2448;0;0;0;8468;15883
"13";"Abruzzo";74;423;5897;201;461;0;0;0;6982;387;4711;227;2536;0;0;0;7861;14843
"13";"Abruzzo";75;404;5695;154;480;3;0;0;6736;345;4348;193;2662;0;0;0;7548;14284
"13";"Abruzzo";76;248;4117;106;338;1;0;0;4810;265;3202;154;2132;0;0;0;5753;10563
"13";"Abruzzo";77;280;4358;111;442;0;0;0;5191;279;3043;140;2516;0;0;0;5978;11169
"13";"Abruzzo";78;255;4013;99;446;0;0;0;4813;272;2869;119;2599;0;0;0;5859;10672
"13";"Abruzzo";79;234;3714;78;500;1;0;0;4527;265;2524;105;2708;0;0;0;5602;10129
"13";"Abruzzo";80;235;3583;68;549;0;0;1;4436;243;2347;102;2823;0;0;0;5515;9951
"13";"Abruzzo";81;229;3874;78;631;1;0;0;4813;293;2452;106;3399;0;0;0;6250;11063
"13";"Abruzzo";82;213;3662;92;647;0;0;0;4614;288;2132;84;3715;0;0;0;6219;10833
"13";"Abruzzo";83;170;3088;57;717;0;0;0;4032;277;1743;73;3389;0;0;0;5482;9514
"13";"Abruzzo";84;164;2873;39;699;0;0;0;3775;237;1519;62;3416;0;0;0;5234;9009
"13";"Abruzzo";85;149;2422;39;598;0;0;0;3208;236;1174;54;3261;0;0;0;4725;7933
"13";"Abruzzo";86;123;2175;31;640;0;0;0;2969;224;1042;50;3255;0;0;0;4571;7540
"13";"Abruzzo";87;89;1758;12;629;0;0;0;2488;192;776;34;3151;0;0;0;4153;6641
"13";"Abruzzo";88;87;1520;18;581;1;0;0;2207;202;650;39;3027;0;0;0;3918;6125
"13";"Abruzzo";89;65;1190;16;499;0;0;0;1770;186;458;22;2535;0;0;1;3202;4972
"13";"Abruzzo";90;60;947;17;483;0;0;0;1507;165;360;27;2433;0;0;0;2985;4492
"13";"Abruzzo";91;52;759;9;488;0;0;0;1308;172;278;20;2260;0;0;0;2730;4038
"13";"Abruzzo";92;31;542;6;337;0;0;0;916;139;153;18;1785;0;0;0;2095;3011
"13";"Abruzzo";93;18;348;5;290;0;0;0;661;89;127;11;1428;0;0;0;1655;2316
"13";"Abruzzo";94;24;247;1;257;0;0;0;529;81;90;9;1188;0;0;0;1368;1897
"13";"Abruzzo";95;13;142;1;174;0;0;0;330;51;62;5;884;0;0;0;1002;1332
"13";"Abruzzo";96;6;96;1;139;0;0;0;242;61;48;4;695;0;0;0;808;1050
"13";"Abruzzo";97;2;75;0;110;0;0;0;187;49;25;4;503;0;0;0;581;768
"13";"Abruzzo";98;5;39;0;45;0;0;0;89;19;25;2;353;0;0;0;399;488
"13";"Abruzzo";99;1;23;0;40;0;0;0;64;25;17;1;260;0;0;0;303;367
"13";"Abruzzo";100;5;40;0;86;0;0;0;131;28;16;3;406;0;0;0;453;584
"13";"Abruzzo";999;288363;304012;15511;16088;184;2;2;624162;241772;305272;20714;83912;110;7;1;651788;1275950
"17";"Basilicata";0;1720;0;0;0;0;0;0;1720;1603;0;0;0;0;0;0;1603;3323
"17";"Basilicata";1;1841;0;0;0;0;0;0;1841;1658;0;0;0;0;0;0;1658;3499
"17";"Basilicata";2;1907;0;0;0;0;0;0;1907;1740;0;0;0;0;0;0;1740;3647
"17";"Basilicata";3;1852;0;0;0;0;0;0;1852;1830;0;0;0;0;0;0;1830;3682
"17";"Basilicata";4;2070;0;0;0;0;0;0;2070;1848;0;0;0;0;0;0;1848;3918
"17";"Basilicata";5;2054;0;0;0;0;0;0;2054;1936;0;0;0;0;0;0;1936;3990
"17";"Basilicata";6;2073;0;0;0;0;0;0;2073;1974;0;0;0;0;0;0;1974;4047
"17";"Basilicata";7;2050;0;0;0;0;0;0;2050;2006;0;0;0;0;0;0;2006;4056
"17";"Basilicata";8;2088;0;0;0;0;0;0;2088;1944;0;0;0;0;0;0;1944;4032
"17";"Basilicata";9;2322;0;0;0;0;0;0;2322;2095;0;0;0;0;0;0;2095;4417
"17";"Basilicata";10;2255;0;0;0;0;0;0;2255;2138;0;0;0;0;0;0;2138;4393
"17";"Basilicata";11;2331;0;0;0;0;0;0;2331;2210;0;0;0;0;0;0;2210;4541
"17";"Basilicata";12;2472;0;0;0;0;0;0;2472;2267;0;0;0;0;0;0;2267;4739
"17";"Basilicata";13;2529;0;0;0;0;0;0;2529;2338;0;0;0;0;0;0;2338;4867
"17";"Basilicata";14;2509;0;0;0;0;0;0;2509;2317;0;0;0;0;0;0;2317;4826
"17";"Basilicata";15;2591;0;0;0;0;0;0;2591;2379;0;0;0;0;0;0;2379;4970
"17";"Basilicata";16;2551;1;0;1;0;0;0;2553;2395;0;0;0;0;0;0;2395;4948
"17";"Basilicata";17;2710;1;0;0;0;0;0;2711;2644;0;0;0;0;0;0;2644;5355
"17";"Basilicata";18;2863;0;0;0;0;0;0;2863;2512;1;0;0;0;0;0;2513;5376
"17";"Basilicata";19;2871;0;0;0;0;0;0;2871;2629;7;1;0;0;0;0;2637;5508
"17";"Basilicata";20;2916;1;0;0;0;0;0;2917;2583;14;0;0;1;0;0;2598;5515
"17";"Basilicata";21;3028;3;0;0;0;0;0;3031;2646;19;0;0;0;0;0;2665;5696
"17";"Basilicata";22;2993;7;0;0;0;0;0;3000;2673;31;1;0;0;0;0;2705;5705
"17";"Basilicata";23;3067;8;0;0;0;0;0;3075;2520;69;1;0;0;0;0;2590;5665
"17";"Basilicata";24;2968;33;0;0;0;0;0;3001;2568;98;0;0;0;0;0;2666;5667
"17";"Basilicata";25;2971;46;0;0;0;0;0;3017;2514;168;1;0;0;0;0;2683;5700
"17";"Basilicata";26;2916;72;0;0;0;0;0;2988;2469;241;3;0;0;0;0;2713;5701
"17";"Basilicata";27;2847;130;0;0;0;0;0;2977;2478;339;4;1;0;0;0;2822;5799
"17";"Basilicata";28;2888;210;2;0;0;0;0;3100;2347;424;7;0;1;0;0;2779;5879
"17";"Basilicata";29;3007;266;0;0;0;0;0;3273;2363;636;10;3;0;0;0;3012;6285
"17";"Basilicata";30;2716;374;4;2;0;0;0;3096;2101;828;9;1;1;0;0;2940;6036
"17";"Basilicata";31;2759;531;5;0;1;0;0;3296;1965;1048;26;0;2;0;0;3041;6337
"17";"Basilicata";32;2550;660;7;1;0;0;0;3218;1751;1160;21;5;0;0;0;2937;6155
"17";"Basilicata";33;2313;875;9;1;0;0;0;3198;1576;1372;31;3;0;0;0;2982;6180
"17";"Basilicata";34;2211;965;17;0;0;0;0;3193;1413;1454;36;5;0;0;0;2908;6101
"17";"Basilicata";35;2025;1091;16;1;2;0;0;3135;1237;1577;44;6;2;0;0;2866;6001
"17";"Basilicata";36;1949;1292;18;2;2;0;0;3263;1158;1768;55;7;0;0;0;2988;6251
"17";"Basilicata";37;1828;1447;25;1;0;0;0;3301;1104;1928;54;10;1;0;0;3097;6398
"17";"Basilicata";38;1669;1517;33;2;0;0;0;3221;996;2021;80;11;1;0;0;3109;6330
"17";"Basilicata";39;1539;1653;43;2;1;0;0;3238;985;2143;83;20;0;0;0;3231;6469
"17";"Basilicata";40;1468;1763;40;5;1;0;0;3277;832;2249;85;23;1;0;0;3190;6467
"17";"Basilicata";41;1383;1852;59;6;0;0;0;3300;842;2238;89;16;0;0;0;3185;6485
"17";"Basilicata";42;1347;2006;53;4;0;0;0;3410;716;2396;104;30;3;0;0;3249;6659
"17";"Basilicata";43;1371;2210;71;1;0;0;0;3653;712;2579;118;28;0;0;0;3437;7090
"17";"Basilicata";44;1254;2214;90;6;0;0;0;3564;713;2781;153;32;0;0;0;3679;7243
"17";"Basilicata";45;1328;2519;95;9;0;0;0;3951;745;2856;178;57;0;0;0;3836;7787
"17";"Basilicata";46;1175;2571;112;11;0;0;0;3869;721;3087;153;53;0;0;0;4014;7883
"17";"Basilicata";47;1180;2769;118;13;2;0;0;4082;681;3106;156;70;0;0;0;4013;8095
"17";"Basilicata";48;1051;2794;129;13;3;0;0;3990;675;3045;198;76;1;0;0;3995;7985
"17";"Basilicata";49;989;2851;149;19;2;0;0;4010;655;3226;201;82;1;0;0;4165;8175
"17";"Basilicata";50;997;2900;138;22;0;0;0;4057;617;3300;185;99;1;0;0;4202;8259
"17";"Basilicata";51;868;3077;139;30;1;0;0;4115;603;3371;190;125;0;0;0;4289;8404
"17";"Basilicata";52;865;3262;151;31;1;0;0;4310;568;3405;177;152;0;0;0;4302;8612
"17";"Basilicata";53;812;3271;136;29;1;0;0;4249;565;3455;190;174;1;0;0;4385;8634
"17";"Basilicata";54;790;3381;156;43;1;0;0;4371;542;3599;198;192;1;0;0;4532;8903
"17";"Basilicata";55;713;3281;120;48;1;0;0;4163;542;3597;183;197;0;0;0;4519;8682
"17";"Basilicata";56;735;3430;147;45;0;0;0;4357;522;3587;175;207;0;0;0;4491;8848
"17";"Basilicata";57;635;3629;170;63;0;0;0;4497;529;3709;196;236;0;0;0;4670;9167
"17";"Basilicata";58;574;3435;178;72;0;0;0;4259;501;3439;148;285;0;0;0;4373;8632
"17";"Basilicata";59;560;3546;164;56;0;0;0;4326;441;3471;163;295;0;0;0;4370;8696
"17";"Basilicata";60;493;3352;162;74;0;0;0;4081;405;3435;160;368;0;0;0;4368;8449
"17";"Basilicata";61;415;3358;119;77;0;0;0;3969;414;3314;159;405;0;0;0;4292;8261
"17";"Basilicata";62;448;3223;108;75;0;0;0;3854;407;3140;108;408;0;0;0;4063;7917
"17";"Basilicata";63;367;3200;116;76;1;0;0;3760;383;2961;111;437;0;0;0;3892;7652
"17";"Basilicata";64;360;2956;106;76;0;0;0;3498;352;2994;109;522;0;0;0;3977;7475
"17";"Basilicata";65;322;3130;114;94;0;0;0;3660;337;2948;103;534;0;0;0;3922;7582
"17";"Basilicata";66;310;3095;90;114;0;0;0;3609;282;2766;90;524;0;0;0;3662;7271
"17";"Basilicata";67;256;3028;84;120;0;0;0;3488;304;2748;95;622;0;0;0;3769;7257
"17";"Basilicata";68;247;2802;85;127;0;0;0;3261;280;2406;68;649;0;0;0;3403;6664
"17";"Basilicata";69;199;2722;71;134;0;0;0;3126;293;2389;76;677;0;0;0;3435;6561
"17";"Basilicata";70;190;2630;70;151;0;0;0;3041;216;2324;69;752;0;0;0;3361;6402
"17";"Basilicata";71;192;2790;72;161;0;0;0;3215;238;2245;60;859;0;0;0;3402;6617
"17";"Basilicata";72;185;2800;57;173;0;0;0;3215;211;2187;74;927;0;0;0;3399;6614
"17";"Basilicata";73;168;2779;49;180;0;0;0;3176;238;2161;50;1121;0;0;0;3570;6746
"17";"Basilicata";74;169;2412;41;202;0;0;0;2824;221;1889;41;1100;0;0;0;3251;6075
"17";"Basilicata";75;133;2145;39;202;0;0;0;2519;176;1641;36;1038;0;0;0;2891;5410
"17";"Basilicata";76;82;1619;29;143;0;0;0;1873;162;1196;28;938;0;0;0;2324;4197
"17";"Basilicata";77;93;1619;21;170;0;0;0;1903;146;1065;20;976;0;0;0;2207;4110
"17";"Basilicata";78;77;1541;14;197;0;0;0;1829;145;1006;26;1006;0;0;0;2183;4012
"17";"Basilicata";79;64;1411;15;206;0;0;0;1696;137;934;24;1116;0;0;0;2211;3907
"17";"Basilicata";80;69;1370;16;212;0;0;0;1667;125;895;20;1102;0;0;0;2142;3809
"17";"Basilicata";81;87;1570;24;270;0;0;0;1951;144;874;18;1428;0;0;0;2464;4415
"17";"Basilicata";82;64;1506;14;290;0;0;0;1874;143;888;14;1485;0;0;0;2530;4404
"17";"Basilicata";83;49;1338;17;291;0;0;0;1695;149;714;10;1509;0;0;0;2382;4077
"17";"Basilicata";84;68;1161;14;319;0;0;0;1562;148;628;21;1538;0;0;0;2335;3897
"17";"Basilicata";85;64;1007;12;305;0;0;0;1388;114;513;9;1484;0;0;0;2120;3508
"17";"Basilicata";86;42;893;9;299;0;0;0;1243;129;449;11;1357;0;0;0;1946;3189
"17";"Basilicata";87;44;766;6;320;0;0;0;1136;111;335;6;1397;0;0;0;1849;2985
"17";"Basilicata";88;28;626;4;301;0;0;0;959;90;244;11;1322;0;0;0;1667;2626
"17";"Basilicata";89;14;495;0;278;0;0;0;787;89;181;7;1056;0;0;0;1333;2120
"17";"Basilicata";90;23;379;0;241;0;0;0;643;67;138;6;965;0;0;0;1176;1819
"17";"Basilicata";91;20;290;5;217;0;0;0;532;65;101;4;941;0;0;0;1111;1643
"17";"Basilicata";92;10;231;1;188;0;0;0;430;64;67;3;728;0;0;0;862;1292
"17";"Basilicata";93;11;144;4;143;0;0;0;302;41;37;2;570;0;0;0;650;952
"17";"Basilicata";94;8;115;2;118;0;0;0;243;35;34;1;456;0;0;0;526;769
"17";"Basilicata";95;4;59;2;79;0;0;0;144;28;13;1;369;0;0;0;411;555
"17";"Basilicata";96;7;41;0;57;0;0;0;105;21;20;1;251;0;0;0;293;398
"17";"Basilicata";97;3;16;0;44;0;0;0;63;15;13;0;169;0;0;0;197;260
"17";"Basilicata";98;2;21;0;37;0;0;0;60;9;7;0;132;0;0;0;148;208
"17";"Basilicata";99;2;9;0;30;0;0;0;41;10;6;1;95;0;0;0;112;153
"17";"Basilicata";100;3;9;1;33;0;0;0;46;10;5;1;138;0;0;0;154;200
"17";"Basilicata";999;122306;132602;4187;7363;20;0;0;266478;101586;131753;5361;35972;18;0;0;274690;541168
"18";"Calabria";0;6717;0;0;0;0;0;0;6717;6452;0;0;0;0;0;0;6452;13169
"18";"Calabria";1;7082;0;0;0;0;0;0;7082;6840;0;0;0;0;0;0;6840;13922
"18";"Calabria";2;7362;0;0;0;0;0;0;7362;7081;0;0;0;0;0;0;7081;14443
"18";"Calabria";3;7720;0;0;0;0;0;0;7720;7325;0;0;0;0;0;0;7325;15045
"18";"Calabria";4;7961;0;0;0;0;0;0;7961;7611;0;0;0;0;0;0;7611;15572
"18";"Calabria";5;8107;0;0;0;0;0;0;8107;7698;0;0;0;0;0;0;7698;15805
"18";"Calabria";6;8279;0;0;0;0;0;0;8279;7839;0;0;0;0;0;0;7839;16118
"18";"Calabria";7;8362;0;0;0;0;0;0;8362;7816;0;0;0;0;0;0;7816;16178
"18";"Calabria";8;8259;0;0;0;0;0;0;8259;7956;0;0;0;0;0;0;7956;16215
"18";"Calabria";9;8670;0;0;0;0;0;0;8670;8039;0;0;0;0;0;0;8039;16709
"18";"Calabria";10;8740;0;0;0;0;0;0;8740;8190;0;0;0;0;0;0;8190;16930
"18";"Calabria";11;8877;0;0;0;0;0;0;8877;8539;0;0;0;0;0;0;8539;17416
"18";"Calabria";12;9159;0;0;0;0;0;0;9159;8502;0;0;0;0;0;0;8502;17661
"18";"Calabria";13;9027;0;0;0;0;0;0;9027;8850;0;0;0;0;0;0;8850;17877
"18";"Calabria";14;9282;0;0;0;0;0;0;9282;8670;0;0;0;0;0;0;8670;17952
"18";"Calabria";15;9622;0;0;0;0;0;0;9622;8924;0;0;0;0;0;0;8924;18546
"18";"Calabria";16;9482;0;0;0;0;0;0;9482;8826;1;0;0;0;0;0;8827;18309
"18";"Calabria";17;9825;1;0;0;0;0;0;9826;9099;0;0;0;0;0;0;9099;18925
"18";"Calabria";18;9726;2;0;0;0;0;0;9728;9003;6;0;0;0;0;0;9009;18737
"18";"Calabria";19;9679;4;1;0;0;0;0;9684;8819;25;0;0;0;0;0;8844;18528
"18";"Calabria";20;9868;5;0;0;0;0;0;9873;9242;62;0;0;0;0;0;9304;19177
"18";"Calabria";21;10119;7;0;0;0;0;0;10126;9262;130;1;0;0;0;0;9393;19519
"18";"Calabria";22;10087;32;3;1;0;0;0;10123;9007;240;1;1;0;0;0;9249;19372
"18";"Calabria";23;10140;83;0;0;0;0;0;10223;8973;412;4;2;0;0;0;9391;19614
"18";"Calabria";24;9773;140;1;1;0;0;0;9915;8682;609;4;1;1;0;0;9297;19212
"18";"Calabria";25;9923;243;2;1;0;0;0;10169;8394;931;9;0;0;0;0;9334;19503
"18";"Calabria";26;9667;424;5;0;1;0;0;10097;8361;1311;8;1;0;0;0;9681;19778
"18";"Calabria";27;9609;689;4;2;1;0;0;10305;7925;1754;19;2;0;0;0;9700;20005
"18";"Calabria";28;9664;1020;3;2;0;0;0;10689;7570;2511;33;4;2;0;0;10120;20809
"18";"Calabria";29;9282;1439;6;1;0;0;0;10728;7283;3198;32;4;3;0;0;10520;21248
"18";"Calabria";30;8799;1928;7;5;0;0;0;10739;6701;3689;45;12;0;1;0;10448;21187
"18";"Calabria";31;8560;2516;20;4;2;0;0;11102;6212;4338;57;11;1;0;0;10619;21721
"18";"Calabria";32;8153;3096;28;1;1;0;0;11279;5547;5198;76;12;3;0;0;10836;22115
"18";"Calabria";33;7512;3835;40;8;0;1;0;11396;5216;5784;100;18;1;0;0;11119;22515
"18";"Calabria";34;6946;4161;51;2;2;0;0;11162;4668;6263;127;24;2;0;0;11084;22246
"18";"Calabria";35;6444;4643;71;9;2;0;0;11169;4168;6646;146;44;0;0;0;11004;22173
"18";"Calabria";36;6120;5103;83;7;1;0;0;11314;3912;6987;164;31;0;0;0;11094;22408
"18";"Calabria";37;5759;5815;96;12;1;0;0;11683;3621;7226;202;48;0;0;0;11097;22780
"18";"Calabria";38;5302;6050;104;11;2;0;0;11469;3203;7739;231;41;0;0;0;11214;22683
"18";"Calabria";39;5055;6431;144;10;1;0;0;11641;3120;8227;244;59;2;0;0;11652;23293
"18";"Calabria";40;4738;6753;141;19;3;0;0;11654;2932;8312;270;64;0;0;0;11578;23232
"18";"Calabria";41;4461;7272;172;24;2;0;0;11931;2749;8667;314;83;2;0;0;11815;23746
"18";"Calabria";42;4341;7553;173;30;1;0;0;12098;2708;9017;364;90;1;0;0;12180;24278
"18";"Calabria";43;4146;7992;216;26;0;0;0;12380;2600;9170;378;130;0;1;0;12279;24659
"18";"Calabria";44;3969;8163;233;27;1;0;0;12393;2524;9830;401;149;0;0;0;12904;25297
"18";"Calabria";45;3941;8868;266;32;3;0;0;13110;2467;10285;445;200;1;0;0;13398;26508
"18";"Calabria";46;3743;9054;286;43;2;0;0;13128;2353;10308;522;213;0;0;0;13396;26524
"18";"Calabria";47;3569;9236;316;46;0;1;0;13168;2310;10692;493;225;0;0;1;13721;26889
"18";"Calabria";48;3429;9305;363;64;2;0;0;13163;2154;10633;538;314;0;0;0;13639;26802
"18";"Calabria";49;3240;9495;369;81;1;0;0;13186;2108;10868;573;348;0;0;0;13897;27083
"18";"Calabria";50;3045;9742;384;80;0;0;0;13251;1986;11171;608;397;2;0;0;14164;27415
"18";"Calabria";51;2804;9895;398;80;0;0;0;13177;2016;10968;582;445;0;0;0;14011;27188
"18";"Calabria";52;2832;10359;452;100;1;0;0;13744;2036;11799;606;508;0;0;0;14949;28693
"18";"Calabria";53;2664;10459;416;97;2;0;0;13638;1997;11441;613;545;0;0;0;14596;28234
"18";"Calabria";54;2503;10723;463;123;2;0;0;13814;1844;11615;599;675;1;1;0;14735;28549
"18";"Calabria";55;2335;10923;441;135;1;0;0;13835;1785;11826;573;729;1;0;0;14914;28749
"18";"Calabria";56;2190;10924;484;176;2;0;0;13776;1709;11585;594;815;1;0;0;14704;28480
"18";"Calabria";57;2179;11504;483;208;4;0;0;14378;1765;12058;567;1007;0;0;0;15397;29775
