anno,provincia,delitto,eta_alla_data_del_reato_vittima,valore,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2021,COMO,8. LESIONI DOLOSE,25-34,22,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,8. LESIONI DOLOSE,25-34,24,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,8. LESIONI DOLOSE,25-34,29,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,8. LESIONI DOLOSE,25-34,21,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,8. LESIONI DOLOSE,35-44,41,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,8. LESIONI DOLOSE,35-44,36,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,8. LESIONI DOLOSE,35-44,25,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,8. LESIONI DOLOSE,35-44,34,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,8. LESIONI DOLOSE,35-44,23,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,8. LESIONI DOLOSE,35-44,26,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,8. LESIONI DOLOSE,45-54,38,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,8. LESIONI DOLOSE,45-54,41,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,8. LESIONI DOLOSE,45-54,20,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,8. LESIONI DOLOSE,45-54,26,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,8. LESIONI DOLOSE,45-54,39,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,8. LESIONI DOLOSE,45-54,44,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,8. LESIONI DOLOSE,55-64,17,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,8. LESIONI DOLOSE,55-64,10,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,8. LESIONI DOLOSE,55-64,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,8. LESIONI DOLOSE,55-64,19,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,8. LESIONI DOLOSE,55-64,22,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,8. LESIONI DOLOSE,55-64,22,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,8. LESIONI DOLOSE,65 e oltre,20,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,8. LESIONI DOLOSE,65 e oltre,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,8. LESIONI DOLOSE,65 e oltre,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,8. LESIONI DOLOSE,65 e oltre,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,8. LESIONI DOLOSE,65 e oltre,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,8. LESIONI DOLOSE,65 e oltre,11,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,0-13,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,0-13,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,0-13,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,0-13,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,0-13,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,0-13,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,14-17,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,14-17,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,14-17,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,14-17,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,14-17,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,14-17,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,18-24,10,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,18-24,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,18-24,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,18-24,5,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,18-24,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,18-24,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,25-34,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,25-34,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,25-34,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,25-34,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,25-34,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,25-34,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,35-44,17,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,35-44,11,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,35-44,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,35-44,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,35-44,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,35-44,10,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,45-54,15,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,45-54,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,45-54,11,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,45-54,18,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,45-54,15,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,45-54,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,55-64,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,55-64,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,55-64,5,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,55-64,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,55-64,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,55-64,15,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,9. PERCOSSE,65 e oltre,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,9. PERCOSSE,65 e oltre,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,9. PERCOSSE,65 e oltre,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,9. PERCOSSE,65 e oltre,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,9. PERCOSSE,65 e oltre,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,9. PERCOSSE,65 e oltre,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,0-13,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,0-13,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,0-13,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,0-13,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,0-13,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,0-13,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,14-17,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,14-17,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,14-17,5,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,14-17,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,14-17,5,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,14-17,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,18-24,25,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,18-24,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,18-24,17,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,18-24,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,18-24,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,18-24,15,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,25-34,46,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,25-34,33,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,25-34,27,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,25-34,25,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,25-34,29,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,25-34,41,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,35-44,65,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,35-44,39,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,35-44,42,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,35-44,53,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,35-44,49,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,35-44,50,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,45-54,56,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,45-54,41,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,45-54,45,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,45-54,53,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,45-54,53,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,45-54,46,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,55-64,26,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,55-64,32,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,55-64,23,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,55-64,29,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,55-64,32,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,55-64,28,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,10. MINACCE,65 e oltre,20,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,10. MINACCE,65 e oltre,16,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,10. MINACCE,65 e oltre,17,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,10. MINACCE,65 e oltre,14,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,10. MINACCE,65 e oltre,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,10. MINACCE,65 e oltre,17,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,0-13,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,0-13,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,0-13,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,0-13,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,0-13,10,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,0-13,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,14-17,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,14-17,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,14-17,9,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,14-17,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,14-17,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,14-17,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,18-24,18,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,18-24,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,18-24,10,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,18-24,20,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,18-24,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,18-24,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,25-34,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,25-34,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,25-34,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,25-34,8,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,25-34,13,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,25-34,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,35-44,12,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,35-44,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,35-44,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,35-44,11,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,35-44,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,35-44,6,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,45-54,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,45-54,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,45-54,3,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,45-54,7,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,45-54,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,45-54,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,55-64,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,55-64,4,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,55-64,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,55-64,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,55-64,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,55-64,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,COMO,12. VIOLENZE SESSUALI,65 e oltre,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2020,COMO,12. VIOLENZE SESSUALI,65 e oltre,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2021,COMO,12. VIOLENZE SESSUALI,65 e oltre,2,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2022,COMO,12. VIOLENZE SESSUALI,65 e oltre,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2023,COMO,12. VIOLENZE SESSUALI,65 e oltre,0,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2024,COMO,12. VIOLENZE SESSUALI,65 e oltre,1,Como,013,013,03,Lombardia,Nord-ovest,CO,COMO,1
2019,SONDRIO,5. TENTATI OMICIDI,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,5. TENTATI OMICIDI,0-13,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,5. TENTATI OMICIDI,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,5. TENTATI OMICIDI,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,5. TENTATI OMICIDI,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,5. TENTATI OMICIDI,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,5. TENTATI OMICIDI,25-34,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,5. TENTATI OMICIDI,25-34,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,5. TENTATI OMICIDI,25-34,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,5. TENTATI OMICIDI,25-34,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,5. TENTATI OMICIDI,25-34,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,5. TENTATI OMICIDI,25-34,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,5. TENTATI OMICIDI,45-54,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,5. TENTATI OMICIDI,45-54,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,5. TENTATI OMICIDI,45-54,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,5. TENTATI OMICIDI,45-54,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,5. TENTATI OMICIDI,45-54,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,5. TENTATI OMICIDI,45-54,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,5. TENTATI OMICIDI,65 e oltre,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,5. TENTATI OMICIDI,65 e oltre,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,5. TENTATI OMICIDI,65 e oltre,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,5. TENTATI OMICIDI,65 e oltre,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,5. TENTATI OMICIDI,65 e oltre,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,5. TENTATI OMICIDI,65 e oltre,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,0-13,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,0-13,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,0-13,2,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,0-13,0,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,0-13,6,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,8. LESIONI DOLOSE,0-13,3,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,14-17,4,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,14-17,2,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,14-17,2,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,14-17,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,14-17,5,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,8. LESIONI DOLOSE,14-17,1,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,18-24,14,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,18-24,4,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,18-24,5,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,18-24,11,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,18-24,5,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,8. LESIONI DOLOSE,18-24,7,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,25-34,14,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,25-34,10,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,25-34,15,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,25-34,8,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,25-34,22,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,8. LESIONI DOLOSE,25-34,12,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,35-44,12,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,35-44,6,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,35-44,18,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,35-44,13,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,35-44,6,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2024,SONDRIO,8. LESIONI DOLOSE,35-44,11,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2019,SONDRIO,8. LESIONI DOLOSE,45-54,21,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2020,SONDRIO,8. LESIONI DOLOSE,45-54,12,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2021,SONDRIO,8. LESIONI DOLOSE,45-54,14,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2022,SONDRIO,8. LESIONI DOLOSE,45-54,13,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
2023,SONDRIO,8. LESIONI DOLOSE,45-54,9,Sondrio,014,014,03,Lombardia,Nord-ovest,SO,SONDRIO,1
